"Name","Avg_Rview","Reviews","Category","Address1","Address 2","Phone","Website"
"Amma Hospital","4.4","(538)","General hospital","·","Main Road, beside Petrol Pump New","097012 18666","https://ammahospitalvizag.com/"
"Manipal Hospital Vijayawada","4.8","(8,921)","Hospital","·","Manipal Hospital Vijayawada # 12-570, near, Kanakadurga Varadhi","1800 102 4647","https://www.manipalhospitals.com/vijayawada/?utm_source=Organic&utm_medium=GMB+Organic&utm_campaign=Vijayawada+Hospital+GMB"
"Medicover Hospitals | Best Multi-speciality Hospital in Kakinada","4.8","(6,233)","Hospital","·","ADB Rd, near Achampet Junction","040 6833 4455","https://www.medicoverhospitals.in/hospitals/andhra-pradesh/kakinada/?utm_source=google&utm_medium=organic&utm_campaign=gmb-kakinada"
"Nagarjuna Hospitals Private Limited","4.5","(760)","Private hospital","·","Kalyana vedika, NTR Marg, Near Mana","099634 14242","http://www.nagarjunahospitals.com/"
"Andhra Hospitals Eluru","4.2","(959)","Private hospital","·","No 23A, 8-8, Bendapudi Vari St","088122 22272","http://www.andhrahospitals.org/"
"Medicover Hospitals | Best Multi-speciality Hospital in Vizag","4.6","(11,612)","Hospital","·","Door No- 1-1-83, New Venkojipalem MVP sector 6, NH16, near Hp Petrol Bunk","040 6833 4455","https://www.medicoverhospitals.in/hospitals/andhra-pradesh/visakhapatnam-mvp/?utm_source=google&utm_medium=organic&utm_campaign=gmb-vizag-mvp"
"Aayush Hospitals","4.2","(2,311)","Private hospital","·","48-13-3 3A Ring Road Opp.Siddhartha Medical College","096039 29292","http://www.aayushhospitals.com/"
"Capital Hospitals","4.7","(4,888)","Hospital","·","15-117/1, Vijayawada Rd","085285 19999","http://www.capitalhospitals.in/"
"Medicover Hospitals | Best Women & Child Hospital in Vizag","4.8","(8,072)","Hospital","·","18-1-3, KGH Down Rd","040 6833 4455","https://www.medicoverhospitals.in/hospitals/andhra-pradesh/woman-and-child-visakhapatnam/?utm_source=google&utm_medium=organic&utm_campaign=gmb-wc-vizag"
"Amma Pranadanam Gastro And Multi speciality Hospital","4.9","(1,242)","Hospital","·","Gunturuvarithota, 13-8-176","092464 89606",""
"Medicover Hospitals | Best Multi-speciality Hospital in Kurnool","4.9","(29,657)","Hospital","·","D.No: 51/1E2, 51/1E3, 51/1E4, near RTC Bus Stand","040 6833 4455","https://www.medicoverhospitals.in/hospitals/andhra-pradesh/kurnool/?utm_source=google&utm_medium=organic&utm_campaign=gmb-kurnool"
"Amulya Hospital","3.6","(104)","Hospital","·","14-1-3/1, Nowroji Rd, opp. More Supermarket","089125 43431",""
"Sree Amaravathi Multispeciality Hospital","3.3","(138)","Hospital","·","11-1-234, Aravind Nagar, 3rd Cross Road Govt Hospital Road, Near Satya Sai Bajana Mandiram, Old TDP office","094414 32567",""
"Medicover Hospitals | Best Multi-speciality Hospital in Vizianagaram","4.9","(13,418)","Hospital","·","PRS Complex, Tirumala Hospital Rd, near R.T.C. Complex","040 6833 4455","https://www.medicoverhospitals.in/hospitals/andhra-pradesh/vizianagaram/?utm_source=google&utm_medium=organic&utm_campaign=gmb-vizianagaram"
"Janardani Hospital","4.3","(342)","Hospital","·","Gowrisankar theatre road","0863 222 2083",""
"Latha Super Speciality Hospital","4.8","(2,395)","Hospital","·","Road no:5, Prakasham Road, Suryaraopeta","098484 09889","https://www.lathasuperspecialityhospital.com/"
"OMNI Hospitals Kurnool","4.7","(1,594)","Hospital","·","46/679-C, NH40","085182 77188","https://omnihospitals.in/kurnool/"
"Metro Super Speciality Hospitals","4.5","(506)","Hospital","·","CSI DN Shopping Complex, 29-6-46, Prakasam Rd, opposite Suryaraopeta","0866 244 2666",""
"Harini Hospitals - Best Gastroenterologist & Liver care center in vijayawada | Gastroenterologist In Andhra Pradesh","4.9","(7,763)","Gastroenterologist","·","# 29, 14-51, Prakasam Rd, near Pushpa Hotel Center","098480 44404","https://www.harinihospitals.com/"
"City Multispeciality Hospital","4.7","(206)","Hospital","·","Door No. 9-57, Snehapuri Colony, Ramanayyapeta, Kakinada - 05","095848 13333",""
"J.V.M MOTHER & CHILD Hospital and Vaccination Center(NABH-entry level certified hospital)","4.7","(288)","Hospital","·","Nehru Rd","086442 22213",""
"Medicover Hospitals | Best Multi-speciality Hospital in Srikakulam","4.8","(5,009)","Hospital","·","MDR6","040 6833 4455","https://www.medicoverhospitals.in/hospitals/andhra-pradesh/srikakulam/?utm_source=google&utm_medium=organic&utm_campaign=gmb-srikakulam"
"Padmasri Hospital","3.2","(153)","General hospital","·","49-48-16/5, NH16","092466 34747",""
"Apollo Hospitals Ramnagar Vizag","4.8","(4,057)","Hospital","·","Door No 10, Executive Court, 50-80, Waltair Main Rd, opp. Daspalla","1860 500 1066","https://www.apollohospitals.com/vizag/apollo-hospitals-vizag/"
"St.Joseph's Hospital","4.2","(123)","General hospital","·","Zilla Parishad Juction, Gokhale Rd, beside Spencer's Neighborhood Store","089127 06974","http://www.sjhvsp.org/"
"Arka Multispecialty Hospital","4.9","(849)","Hospital","·","10/219-E, Eluru road - Bypass road, junction, beside Nayara petrol bunk","095228 66999","http://www.arkahospitals.in/"
"APIC Hospital - Best Diabetes & General Hospital in Ongole |Female General Physician |Fever Treatment","4.9","(239)","Hospital","·","Opp. Sai Vijaya diagnostic Center, Sundaraiah Bhavan Rd","077779 99565","http://apichospital.com/?utm_source=gmb&utm_medium=referral"
"Andhra Hospitals Machilipatnam","4.2","(215)","General hospital","·","D.NO. 124&125, RAJU PET MACHILIPATNAM, Azad Rd","086722 21199",""
"Manvi Hospitals","4.8","(364)","Hospital","·","D.No 29-12-43, Venkataratnam Street, Nakkala Rd","093911 76126","https://manvihospitals.com/"
"ASTER RAMESH HOSPITALS Ongole - (Sanghamitra Hospital)","4.9","(13,724)","Hospital","·","NH 5, Near, South Bypass Junction","085922 34599","https://www.asterhospitals.in/hospitals/ramesh-sanghamitra-hospital-ongole"
"Sai Sudha Hospital","4.3","(684)","Private hospital","·","D.No: 21, 1-24, Jawahar St, beside shravani hospital","0884 237 6634","https://saisudhamultispecialtyhospital.com/"
"Life Care Hospitals | Best Multi Speciality Hospital in Kankipadu","4.3","(22)","Hospital","·","PMR LIFE CARE HOSPITALS, hotel & Convention center, opposite Ayana","0866 282 2333",""
"Keerthi Hospital","4.5","(306)","Hospital","·","New vasavi nagar","090105 02212","http://keerthihospital.in/"
"Vijaya Super Speciality Hospital","4.5","(1,699)","General hospital","·","29-26-92A, Bolivar Street","094401 44477","http://www.vijayahospitals.com/"
"Ramesh Hospitals","4.8","(14,820)","Hospital","·","Dr Ramesh Hospital Rd, near ITI College Bus stop","0866 246 3463","https://www.asterhospitals.in/aster-ramesh-hospitals"
"SRI KRISHNA HOSPITAL","4.8","(125)","Specialized hospital","·","20-7-87/1A, Sundaraiah Bhavan Rd","073373 30600","http://www.srikrishnahospital.com/"
"BELEAF HOSPITALS | MULTISPECIALITY HOSPITAL VIJAYAWADA","4.5","(222)","Specialized hospital","·","D.No: 31, 9 8/7, Jadagamvari St, opposite beleaf medschool","079813 02622","https://beleafhospitals.com/"
"MB Hospitals","4.8","(753)","Hospital","·","Plot:15B, APIIC Health City","063019 91460","https://mbhospitalsvizag.com/"
"King George Hospital","3.8","(929)","Government hospital","·","P854+FCV, KGH Down Rd","","http://www.kghvisakhapatnam.org/"
"Giffard Memorial Hospital","4.4","(532)","Hospital","·","QRQV+Q5P American Hospital Road, Usha Bala Nagar Main Rd","086562 32504","https://gmh.metasofsda.in/"
"Aayush Hospitals, Eluru","4.7","(575)","Hospital","","·","088122 27755","http://www.aayushhospitals.com/"
"HEALTH CITY - VIZAG (APIIC)","4.8","(128)","Hospital","·","Q876+CJG","089125 58036",""
"American Hospital","3.9","(173)","Hospital","·","GJ3J+RFV","",""
"Andhra Hospitals","3.5","(119)","Hospital","·","Simhachalam Building, Stadium Rd","089222 76235",""
"JMR Super Speciality Hospital","4.9","(54)","Hospital","·","D.no: 23B-5-46, Eedaravari street, near alluri sitaramaraju statue, near AP state Audit office","095344 88888","https://jmrhospitals.com/"
"Amma Hospital and Vaccination Center","4.9","(3,063)","General hospital","·","Nandyal Rd","",""
"Amrutha Heart Hospital","4.0","(307)","Heart hospital","·","Sixty Feet Rd","073822 99540","http://amruthahearthospital.com/"
"Karumuri Super Speciality Hospital - Guntur","2.7","(178)","Hospital","·","H No: 13, 4-73, Old Club Rd","079959 81521","http://www.karumurihospital.com/"
"Ammaji Pavani Memorial Super Speciality Hospital","4.5","(393)","Hospital","·","1st Ln, beside Gowdiamuttam","","http://apm.maram.company/"
"Aayushman Hospital","4.5","(436)","Hospital","·","17-1-1, opposite KGH Out Gate","081889 31889","https://aayushmanhospital.in/"
"Mahatma Gandhi Cancer Hospital & Research Institute","4.9","(6,174)","Hospital","·","Plot No:1, Sector:7","083410 33744","https://www.mgcancerhospital.com/"
"Super specality hospital","4.0","(95)","Government hospital","·","MJ45+268, JNTU Rd","",""
"Pinnamaneni Siddhartha General Hospital","3.3","(220)","Hospital","·","HR3J+JGW","086762 57311",""
"RaviPrakash Silicon Andhra Sanjivani MultiSpeciality Hospital","3.7","(77)","Hospital","·","Barlapudi Rd","091219 01919","http://www.siliconandhra.org/"
"Kings Hospital","4.8","(149)","Hospital","·","Kings Hospital, 21/148, Sivalingam Pillai Rd, near Seven Roads Circle","094921 26041",""
"KVR HOSPITAL","4.4","(82)","Hospital","·","behind tourist hotel","085142 47365",""
"Pranahitha Multi Speciality Hospital.","4.6","(79)","Hospital","·","12-25-29/A, Boss Statue Circle, Main Road","0863 222 4555",""
"Prasanthi Hospitals","4.4","(43)","Hospital","·","Vangaveeti Mohan Ranga Rd","",""
"Pujitha Hospital","4.1","(65)","General hospital","·","Near Spatagiri Bank, Panta Kaluva Rd","0866 249 5622",""
"Vivekananda Super Speciality Hospital","4.9","(39)","Heart hospital","·","BackSide Chitarlyala Cinema Hall, Kotappakonda Rd","063052 34649","http://vivekanandahospitalnrt.com/"
"Dodla Subbareddy Government General Hospital","3.2","(145)","Hospital","·","CXF6+QQX, GNT Rd","",""
"Chinnapuram Hospital( Venkatarama Hospital) Ortho and Gynecologyand obstetrics","4.5","(256)","Hospital","","·","077993 89770",""
"Union Hospitals - Best Multi Specialty Hospital in Vijayawada","3.7","(216)","Hospital","·","D. No, : 29-4-7, Kodandarami Reddy St","083949 59108","https://unionhospitals.com/"
"Radha Krishna Hospital","4.9","(85)","Hospital","·","inkollu mandal, 9-98","095338 38287","https://rkayurvedam.com/beta2/"
"INDO-BRITISH Hospital","4.1","(120)","Hospital","","·","091000 69930",""
"PAVANI HOSPITAL","4.1","(170)","General hospital","·","12-3-195, 5th Cross Rd","085542 45333",""
"UPAS Hospital","4.6","(668)","Hospital","·","Railway Station Rd, near Railway station","072079 50541","http://www.upashospitals.com/"
"Ashoka Hospitals","4.7","(603)","Hospital","·","Door No 29, 6 9/a, Nakkala Rd","","http://ashokahospitals.com/"
"Indus Hospitals","4.0","(463)","Hospital","·","KGH Down Rd, near Jagadamba Junction","099122 22456","http://www.indushospital.com/"
"Matrusri Multispeciality Hospital","4.5","(96)","Hospital","·","8/437 kl, Ananthapur road, near Tikka lakshmamma avva temple","085522 50250","http://www.arksmatrusri.com/"
"Sri Surya Hospital","3.0","(199)","General hospital","·","15-14 9/1, Krishna Nagar Rd","089125 52233",""
"Likitha Super Speciality Hospital","4.5","(60)","Hospital","·","No 2-15-57/A, 2-15-66, Sattenpalle Road, Kota Centre, opp. HPCL Petrol Pump","096660 00108",""
"M M Multispecialty Hospital","4.0","(153)","General hospital","","·","094902 71144",""
"Spandana Hospital","3.6","(356)","Hospital","·","Dharmavaram-Puttaparthi Rd, Near Sai baba Nagar","",""
"AVR HOSPITAL","4.6","(244)","Hospital","·","Old Club Rd","0863 226 3699",""
"Sri Sai Satya Super Speciality Hospital","4.8","(121)","Hospital","·","Grand Trunk Road besides Guntur convention hall, opposite to Tobacco board","085999 15999",""
"BEST Super Speciality Hospital - Vijayawada","4.9","(121)","Hospital","·","Ravi Chettu Center","083677 22722","https://www.bestsuperspeciality.com/"
"Safe Hands multi speciality hospital","4.7","(49)","Hospital","·","Near Bharath petrol bunk, Manipuram Brg, beside RTC busstand","098488 18199","https://www.safehospitalguntur.com/"
"SUNRISE HOSPITAL","4.8","(179)","Hospital","·","24-143 krishna reddy complex, Kalyandurgam Rd, opp. Raja Hotel","088863 96666","https://svcsunrisehospital.com/"
"Super Specality Hospital 200 Bed","4.1","(8)","Hospital","","","",""
"MADALA MULTI-SPECIALITY HOSPITAL","5.0","(268)","Hospital","·","madala multispeciality hospital, beside amma furniture mall","073860 37003",""
"Sri Srinivasa Childrens Hospital","4.9","(1,071)","Children's hospital","Shop No. 29-8-39/4 Chiluku Durgayya Veedhi, Nakkala Rd","·","0866 243 8090",""
"Balaji Hospital","3.5","(93)","Hospital","","·","085182 21227","http://balajihospital.in/"
"Sree Siri Emergency Hospital","4.9","(37)","Hospital","·","Pulivendula-Parnapalle Rd","",""
"Prameela Hospitals","3.1","(147)","Hospital","·","10-3-206, VV Mahal Rd","0877 222 0948",""
"Amma Pillala Hospital","4.3","(144)","Children's hospital","·","7FW3+J5G 3rd Lane, Road, opp. Bus Stand","0863 226 6000",""
"St Joseph's General Hospital","4.2","(45)","Hospital","·","FX4M+X6C, Near St. Joseph's girls High School","0861 233 1186","https://www.sjhnellore.com/"
"NRI General Hospital","3.0","(621)","Private hospital","·","CH75+X26, NRI Hospital Road","","http://www.nrias.net/"
"BSA Hospital Mahal - Dr.Iqbal Ahmed Khan Rehabilitation centre for paralysis patients","4.7","(225)","Hospital","·","QQHQ+2HP","088863 68363",""
"Puvvada Hospital","4.3","(49)","Hospital","·","Palnadu Rd","086472 25464",""
"Vins Hospital","3.6","(227)","Private hospital","·","Kovelamudivari Street, opp. swati press","",""
"Sunrise Multi Speciality Hospital Kadapa","3.4","(200)","Hospital","·","1st Floor, Sai Ram Towers, Dno. 2-787, Sri Hari Rao St","088866 55565","https://www.google.com/search?q=Sunrise+Multi+Speciality+Hospital+Kadapa&stick=H4sIAAAAAAAA_-NgU1I1qDBOSjI2NzI0SDYyT0szTE6xAgolWpilJlqkmhsamppZJhkuYtUILs0ryixOVfAtzSnJVAguSE3OTMzJLKlU8MgvLsgsScxR8E5MSSxIBACRtPABVAAAAA&hl=en-GB&mat=CYP2Zs4OQCCEElcB8pgkaIWSrazNLrYk8t0XgY2JFtSMaqBc915DgomvMNUKGFIY6quCPGXcqi92NFGaktJzbM0cN6gzN4zUongNVqt-5gs5j_ce35sPcsS6DuSR-AGnA1w&authuser=0&ved=2ahUKEwja9f6IpL_9AhXv-zgGHQzlCEsQ-MgIegQICRAe"
"Vijaya Hospital","4.6","(75)","Hospital","·","H.No: 12, 134, 2nd Cross Rd, near Chinnari Hospital","090594 45597",""
"Jeevana Jyothi Hospital","3.2","(33)","Private hospital","·","15/381, opposite to Rotary English Medium School Kamalanagar Anantapur Andhra Pradesh 515001 IN","085542 49987",""
"Sri Venkateswara Ramnarayan Ruia Government General Hospital","3.3","(321)","Government hospital","·","JCV4+V8R, Alipiri Rd","",""
"Sri Krishna Hospital","4.6","(320)","Hospital","·","Bendapudi Vari St, opp. Vijaya Bar","091540 69506","https://sites.google.com/view/srikrishnahospitaleluru"
"Anu Hospitals","4.2","(169)","Hospital","·","521230l, Post Office Rd","097013 40498",""
"HEALTH HOSPITAL","4.7","(12)","Hospital","·","133-164/1, Mahatma Gandhi Inner Ring Rd, opp. DURGA TEMPLE","0863 295 9769",""
"Life Hospital","4.2","(456)","Hospital","·","28/1412, Railway Station Road, Noonepalli, Near Andhra Bank","085142 45334",""
"JMJ Health Care Snake Bite Hospital","4.0","(33)","Hospital","·","6JF9+VR8","",""
"Srivari Hospital - Best multispeciality hospital in Atmakur","4.7","(17)","Hospital","·","Atmakur Rd, opp. to LIC Office","080737 17540",""
"Priya Multi Speciality Hospital","4.2","(55)","Hospital","·","3rd cross, Sai Nagar","085542 39777",""
"CIPACA - M S Multispeciality Hospital - 24 Hrs Emergency & ICU Care Hospital","5.0","(14)","Hospital","·","1st floor, Punjab National Bank Building, State Bank Road, opp. Head Post office","082382 38233","https://www.cipaca.com/ms-multispeciality-hospital-24hrs-emergency-hospital-in-pithapuram"
"","","","","","","",""
