Name,Avg_Rview,Reviews,Category,Address ,Phone,Website
Sree Swamy Vivekananda English Medium School  Branch One (IIT and Olympiad),4.3,35,School,,086391 41974,
Scholars international School,4.3,60,High school,"FVJG+29M, Opposite RTC Bus Stand, District Guntur",096521 71117,
International Delhi Public School,4.2,64,General education school,"International Delhi Public School, Vidya Nagar, Pallavolu",090592 22607,https://www.idpsproddatur.com/
viswam english medium high school,4.3,29,Higher secondary school,F22R+MR6,0861 239 5007,
"YASODA CONCEPT SCHOOL, Puttaparthi Road, DHARMAVARAM, ANANTAPUR DISTRICT, A.P.",4.3,68,General education school,"Peddaiah Gardens, Chennakesavapuram, 25/6406, Puttaparthi Road",090105 08451,http://www.yasodaschool.com/
Good Shepherd E M School,4.3,308,Private educational institution,,092470 47013,https://goodshepherdschoolnandyal.in/
Dr. Kishore's Ratnam Race International School,4.8,210,Primary school,opp. INDIAN MEDICAL ASSOCIATION HALL,092464 33550,http://drkishoresratnamschools.com/
Nalanda Vidyaniketan,4.1,308,School,"D, NO 40944/1, near Benz Circle",077997 87810,https://nvn.edu.in/
A P Model School YVPALEM,4.7,28,State Board School,,,
Government school,5,2,High school,,,
The Presidential School,4.3,56,Private educational institution,,089787 83153,https://thepresidentialschool.in/
A.P.MODEL SCHOOL.KONDAPURAM.,4.9,16,State Board School,XMMJ+Q85,,
Dr. Kishore's Ratnam Kids International School,4.9,156,General education school,"Door No: 133, Street No:310 SW2",075693 14521,https://drkishoresratnamschools.com/?UTM_source=GMB_listing&UTM_medium=organic
AP Model School,4.5,33,State Board School,,070329 96463,
A.P. Model School,4.5,23,State Board School,7WXH+35H,,
Nirmala High School,4.4,285,Higher secondary school,"FMX5+H5R, Nirmala Convent Rd",0866 247 2209,https://nirmalahighschool.com/
ATKINSON HIGH SCHOOL,4.4,208,High school,,0866 241 3175,https://atkinsongollapudi.edu.in/
Samsidh School,4.5,44,General education school,Survey No 33,091003 14498,https://www.samsidh.in/
Ap Model School,4.3,36,State Board School,,070329 96532,
"Siddhartha School, Vidyakokila campus",4.5,144,General education school,P33F+R7F,,
Best High School,4.5,17,Higher secondary school,ZP Road,,
"Eklavya Model Residential School, Buttayagudem",4.4,13,CBSE School,673W+448,,
Nakshathra School Nellore | Focus on Communication and Leadership Skills | Best School in Nellore,4.8,175,General education school,"door no:163940, plot: 3",080198 18888,http://www.nakshathraschool.com/
Bharatiya Vidya Bhavan's Vidyashram (Affiliated to C.B.S.E.),4.1,83,CBSE School,"7CVJ+G7M, Kulapati, KM Munshi Rd",0863 223 4802,https://bhavansguntur.com/
St. Benedict's School,4.5,40,General education school,Kothuru Thadeplly,072409 53236,
Sri sai krishna Em school,4.3,69,Elementary school,,,http://www.sskgroup.webs.com/
Sri sai krishna Em school,4.3,69,Elementary school,,,http://www.sskgroup.webs.com/
AMERICAN PUBLIC SCHOOL,4,24,General education school,,099085 56782,http://www.myaps.org/
"Delhi Public School, Visakhapatnam",3.9,224,CBSE School,,089125 10686,http://www.dpsvisakhapatnam.org/
Ravindra Convent High School,4.9,114,Higher secondary school,Vaddigudem Rd,,
Accord School,5,82,CBSE School,Grand World Rd,094038 90888,http://www.theaccordschool.com/
A.P. Open School Society,3.9,166,Education Councils & Boards Office,"7CVX+CV4 Pareeksha Bhavan, Opp. Old Bus Stand",0863 223 9151,http://apopenschool.org/
"Sreeram E.M. High School in Singh Nagar, Vijayawada  Best School in Vijayawada",4.6,150,Higher secondary school,,094917 36994,https://www.sreeramschool.com/
Sri Lakshmi's Kredo The School,4.5,64,General education school,"Q385+XWJ Bus Stop, Kurnool  Chittoor Nat'l Hwy, near Lakshmi kredo the school",,
Ap Model School Marupaka,4.3,25,CBSE School,QQFV+GH6,,https://apms.apcfss.in/
Nagarjuna High School,4.4,43,Private educational institution,"1/300, Rajiv Park Rd, opp. to SP Bunglaow",094406 73764,
Vijaya High School,4.2,81,High school,"FMJ7+JP2, 2072, Yanamalakuduru Rd",0866 255 2173,
AP Model School,4.1,58,Government School,R368+GFF,,
NATCO School of Learning Managed by Hippocampus,4.4,59,CBSE School,Gollamudipadu Rd,086432 36599,http://www.natconsl.edu.in/
Sri Lakshmi High School,4.2,149,Higher secondary school,R2QV+287,085182 20825,
A.P.MODEL SCHOOL.,4.4,38,State Board School,8X6M+JWQ,,
Sadhguru Silver Oaks School Nellore  Best School in Nellore,4.8,315,CBSE School,"Geethanjali Campus, pardhasaradhi Nagar, Muthukur Rd",099851 33339,https://www.sadhgurusilveroaks.com/
"Ap model school,gorumanu konda",4.1,14,State Board School,"NH 340B, Betamcherla mandal, Gorumanukonda thanda, village",,
SASI ENGLISH MEDIUM SCHOOL,4.4,510,General education school,Society Rd,091332 65599,http://www.sasi.ac.in/
Nava Bharath Public School,4.3,70,General education school,"NEHRU NAGAR 4TH LANE, KRISHNA LANKA",0866 252 2214,https://m.facebook.com/NavabharatPublicSchool
Oxford IIT & Medical Foundation School A.P.,4.2,80,General education school,"P35J+465, 7th Ln",088866 75036,
A.P.MODEL SCHOOL.KROSURU.,4.2,53,State Board School,"G4X8+Q4G, ROAD",,
Montessori [EM] High School,4.4,99,High school,"R2JR+9W6, Park Road, Vidyanagar",085182 22297,
Isakalapalem High School,3.6,36,High school,"WJ9H+P5P, isakalapalem, mandal,",,
"AP MODEL SCHOOL, VAVILAPALLI PETA",4.7,26,State Board School,"8QQH+F95, vailapallipeta, (near Rapaka, Jn",,
Avenues Senior Secondary School,4.5,94,CBSE School,"Brahmanandapuram, opposite Police parade grounds",091008 94555,http://www.avenuesschool.com/
SUNSHINE SCHOOL,4.5,74,Secondary school,,088142 74400,http://sunshineschoolnsp.com/
Afflatus Global School,4,80,General education school,,088978 41111,https://www.agsatp.com/
Aditya Public School,3.9,60,General education school,,090007 05723,http://www.aditya.ac.in/
A.P.MODEL SCHOOL.,4.5,19,State Board School,V33G+58P,,
Bhavya Cements DAV Public School,4.6,18,CBSE School,MR47+QVH,094907 97989,
Good Base E.M High School.,4.9,314,High school,"1/2410, Vasubabu House Line,Opp:GM Petrol Bunk",070321 30585,https://goodbaseschool.in/
Radha School Of Learning,4.3,57,School,"Samathagram,SKU Road, near Shilpa Lepakshi Nagar",,
Balavikas English Medium High School,4,86,Higher secondary school,"FR5C+2J8, near Chowdeswari Devi Temple",085622 57354,
Sree Vivekananda High School.,4,48,Higher secondary school,GVQM+7QM,,
Lourdes High School,4.1,60,High school,"8C6W+WWG, Vasantha raya Puram main road, 5th Ln",,
Veda Gayathri High School,4.1,95,High school,,092474 04599,
Narayana E  Techno School,3.8,30,High school,,086292 49600,http://www.narayanaetechnoschools.com/
"S Rayavaram Z.P.High School,Visakhapatnam,Andra Pradesh,India.",3.9,14,Secondary school,"FR34+9X8, S Rayavara, S, Rayavaram Rd",,
"A.P.MODEL SCHOOL AND JR COLLEGE,CHUNDI",4.1,22,General education school,5M9Q+59P,,
St Ann's English Medium School,3.8,66,School,"Bharat pet, 7th Ln",0863 224 3086,
