Name,Avg_review,Reviews,Category,Address 4,Phone,Maps_url
Jyoti Mall,4.2,"13,226",Shopping mall,40323 Park Road Opp Zilla Praja Parishad,085182 89309,https://www.google.com/maps/place/Jyoti+Mall/data=!4m7!3m6!1s0x3bb5e75e70a3c14f:0x6dbf223ae3df2df2!8m2!3d15.8304603!4d78.0401924!16s%2Fg%2F1260d7m10!19sChIJT8GjcF7ntTsR8i3f4zoiv20?authuser=0&hl=en&rclk=1
South India Shopping MallVijayawada,3.9,"10,078",Shopping mall,"D.No 2716210 , Eluru Road, Besant Cross Road",077999 65656,https://www.google.com/maps/place/South+India+Shopping+MallVijayawada/data=!4m7!3m6!1s0x3a35effdeb2f9bf3:0x78b1a14042df691b!8m2!3d16.513834!4d80.627025!16s%2Fg%2F124t5lyc4!19sChIJ85sv6_3vNToRG2nfQkChsXg?authuser=0&hl=en&rclk=1
DAddress Mall,4.2,"5,200",Shopping mall,"Catholic Center, 401, MG Rd",,https://www.google.com/maps/place/DAddress+Mall/data=!4m7!3m6!1s0x3a35faba42ba86d9:0xeb7f4e5a41eb3112!8m2!3d16.4993952!4d80.6500503!16s%2Fg%2F11g69hvn4w!19sChIJ2Ya6Qrr6NToREjHrQVpOfs?authuser=0&hl=en&rclk=1
The IMPERIAL VSN,4.2,737,Shopping mall,"5913, 34/1A, 1st Ln",081255 29999,https://www.google.com/maps/place/The+IMPERIAL+VSN/data=!4m7!3m6!1s0x3a35fac7c43b58f3:0x17ab87a3ca03ebf6!8m2!3d16.501111!4d80.6568387!16s%2Fg%2F11f03tml2n!19sChIJ81g7xMf6NToR9usDyqOHqxc?authuser=0&hl=en&rclk=1
Swathi Shopping Mall  MG road Vijayawada,4.5,938,Shopping mall,,,https://www.google.com/maps/place/Swathi+Shopping+Mall++MG+road+Vijayawada/data=!4m7!3m6!1s0x3a35fb4362b49deb:0xb2d97b1190c37415!8m2!3d16.5007325!4d80.6453365!16s%2Fg%2F11l6rtwkcb!19sChIJ6520YkP7NToRFXTDkBF72bI?authuser=0&hl=en&rclk=1
CMR Shopping Mall,4,"8,410",Shopping mall,"1085, 612, GNT Rd, beside Mangalagiri Complex",076709 01517,https://www.google.com/maps/place/CMR+Shopping+Mall/data=!4m7!3m6!1s0x3a3969a91f861383:0x5cb87a6c18b5de98!8m2!3d17.685264!4d83.2117645!16s%2Fg%2F1q63ck08x!19sChIJgxOGH6lpOToRmN61GGx6uFw?authuser=0&hl=en&rclk=1
CMR Shopping Mall,4.1,"2,904",Shopping mall,"# 58734/4, Main Road, beside Bata Show room",076709 01440,https://www.google.com/maps/place/CMR+Shopping+Mall/data=!4m7!3m6!1s0x3a4a7566c8d3d0d9:0xad17c62b3d27c1eb!8m2!3d16.3106157!4d80.4287612!16s%2Fg%2F11gdg0pd03!19sChIJ2dDTyGZ1SjoR68EnPSvGF60?authuser=0&hl=en&rclk=1
South India Shopping MallGajuwaka,4.5,"5,456",Outlet mall,"10233, GNT Rd",077999 65656,https://www.google.com/maps/place/South+India+Shopping+MallGajuwaka/data=!4m7!3m6!1s0x3a3969070d8c6573:0x3cfb57aa4a3f3b5!8m2!3d17.685702!4d83.2064281!16s%2Fg%2F11fx912_hk!19sChIJc2WMDQdpOToRtfOjpHq1zwM?authuser=0&hl=en&rclk=1
CMR Shopping Mall,4.7,"2,801",Shopping mall,"1656, PP Rd, opp. Raymond Showroom",076709 01423,https://www.google.com/maps/place/CMR+Shopping+Mall/data=!4m7!3m6!1s0x3a37d3e143e77ebf:0xf16139e1006714c3!8m2!3d16.5458136!4d81.5269858!16s%2Fg%2F11q7jp127b!19sChIJv37nQHTNzoRwxRnAOE5YfE?authuser=0&hl=en&rclk=1
CMR Shopping Mall,4.2,"1,953",Shopping mall,VV Mahal Rd,076709 01465,https://www.google.com/maps/place/CMR+Shopping+Mall/data=!4m7!3m6!1s0x3a4d4b8de366f6ff:0xb911776a880da5fb!8m2!3d13.6368831!4d79.4198341!16s%2Fg%2F11fhz1vmqr!19sChIJ__Zm441LTToR6UNiGp3Ebk?authuser=0&hl=en&rclk=1
GV Mall Gudivada,4.3,"1,797",Shopping mall,,,https://www.google.com/maps/place/GV+Mall+Gudivada/data=!4m7!3m6!1s0x3a361d792d7f2a9f:0xc15384b95fd8b1d5!8m2!3d16.4339157!4d80.9924718!16s%2Fg%2F11mjxq9g31!19sChIJnyp_LXkdNjoR1bHYX7mEU8E?authuser=0&hl=en&rclk=1
GV Mall Eluru,4.1,"4,957",Shopping mall,"vijay vihar centre, R.R.Pet Main Road",095506 99887,https://www.google.com/maps/place/GV+Mall+Eluru/data=!4m7!3m6!1s0x3a3614b62634b4a3:0xf428b6873ac1fa93!8m2!3d16.7121791!4d81.0974267!16s%2Fg%2F11ggbcb7r9!19sChIJo7Q0JrYUNjoRk_rBOoe2KPQ?authuser=0&hl=en&rclk=1
Swathi Shopping Mall  Guntur,4.3,"2,115",Shopping mall,"LAKSHMIPURAM MAIN ROAD Adjacent to BANK OF BARODA, Doorno:5874, beside MALBAR GOLD& DIAMONDS",0863 222 6812,https://www.google.com/maps/place/Swathi+Shopping+Mall++Guntur/data=!4m7!3m6!1s0x3a4a752d4655233d:0xd4b8bf93508aaa!8m2!3d16.3083721!4d80.4335984!16s%2Fg%2F11gwmfjhbk!19sChIJPSNVRi11SjoRqopQk741AA?authuser=0&hl=en&rclk=1
Dress Circle Shopping Mall Anantapur,4.6,"7,093",Shopping mall,Subash Rd,091211 41021,https://www.google.com/maps/place/Dress+Circle+Shopping+Mall+Anantapur/data=!4m7!3m6!1s0x3bb14adc12bf9ef5:0x8ea89bb961ec5bc9!8m2!3d14.6790797!4d77.6008756!16s%2Fg%2F11f3m9dz4n!19sChIJ9Z6_EtxKsTsRyVvsYbmbqI4?authuser=0&hl=en&rclk=1
TGV Anantha Cine Shopping Mall,4.2,"2,168",Shopping mall,"D.No.40/37M Sy.No.177 & 192, 4A, New Bus Stand Rd",098480 76142,https://www.google.com/maps/place/TGV+Anantha+Cine+Shopping+Mall/data=!4m7!3m6!1s0x3bb5e758c20e8ea1:0x21dbfc3dae7c258c!8m2!3d15.8268306!4d78.0353111!16s%2Fg%2F1pyqgfvgw!19sChIJoY4OwljntTsRjCV8rj382yE?authuser=0&hl=en&rclk=1
Z Mall,4.7,192,Shopping mall,"DO.NO : 75, 620, near Apex Hospital",,https://www.google.com/maps/place/Z+Mall/data=!4m7!3m6!1s0x3a37a3e62742cc83:0x32d4888dda7f7050!8m2!3d17.0071569!4d81.7895933!16s%2Fg%2F11vln9mf8g!19sChIJg8xCJajNzoRUHB_2o2I1DI?authuser=0&hl=en&rclk=1
CMR Shopping Mall,4.6,661,Shopping mall,,,https://www.google.com/maps/place/CMR+Shopping+Mall/data=!4m7!3m6!1s0x3bb14b0053517429:0xe5cacf7dd559920a!8m2!3d14.6808258!4d77.595387!16s%2Fg%2F11wflvw3d5!19sChIJKXRRUwBLsTsRCpJZ1X3PyuU?authuser=0&hl=en&rclk=1
VARAM CENTRAL Mall & Multiplex,4.3,135,Shopping mall,,,https://www.google.com/maps/place/VARAM+CENTRAL+Mall+%26+Multiplex/data=!4m7!3m6!1s0x3a49e7196eae5f89:0xb2d205efd7f1e916!8m2!3d16.1969608!4d81.1384553!16s%2Fg%2F11spzqgxk6!19sChIJiVubhnnSToRFunx18F0rI?authuser=0&hl=en&rclk=1
PVR Ripples Mall Vijayawada,4,"21,912",Shopping mall,"3rd Floor, Ripples Mall, MG Rd",088009 00009,https://www.google.com/maps/place/PVR+Ripples+Mall+Vijayawada/data=!4m7!3m6!1s0x3a35fb819b61fc3d:0xf0de593e4d2a16cd!8m2!3d16.5010627!4d80.643605!16s%2Fg%2F11ckv6t1cx!19sChIJPfxhm4H7NToRzRYqTT5Z3vA?authuser=0&hl=en&rclk=1
SOUTH CENTRAL SHOPPING MALL,3.9,716,Shopping mall,"11, Main Rd",096137 99997,https://www.google.com/maps/place/SOUTH+CENTRAL+SHOPPING+MALL/data=!4m7!3m6!1s0x3a399352eb7d1275:0xf2f32f77ca70a501!8m2!3d17.6647735!4d82.6137276!16s%2Fg%2F11f7bqtzc_!19sChIJdRJ961KTOToRAaVwyncv8_I?authuser=0&hl=en&rclk=1
SOUTH CENTRAL SHOPPING MALL,3.8,"1,031",Shopping mall,,,https://www.google.com/maps/place/SOUTH+CENTRAL+SHOPPING+MALL/data=!4m7!3m6!1s0x3a39c7ed4071b121:0xb356e1e71d40d034!8m2!3d17.3629475!4d82.5514795!16s%2Fg%2F11b8t85mcz!19sChIJIbFxQO3HOToRNNBAHefhVrM?authuser=0&hl=en&rclk=1
South India Shopping MallGuntur,4,"4,525",Shopping mall,"D.No.93, Main Rd, beside Hotel Grand Nagarjuna",0863 232 3900,https://www.google.com/maps/place/South+India+Shopping+MallGuntur/data=!4m7!3m6!1s0x3a4a75434bd3f099:0x8695285426bf9497!8m2!3d16.305355!4d80.436901!16s%2Fg%2F11bx5v1tnz!19sChIJmfDTS0N1SjoRl5S_JlQolYY?authuser=0&hl=en&rclk=1
GV Mall Nandyala,4.5,"2,759",Shopping mall,2/414E,,https://www.google.com/maps/place/GV+Mall+Nandyala/data=!4m7!3m6!1s0x3bb5ad5e4c29d639:0xa44724a86abeab3b!8m2!3d15.4832815!4d78.485849!16s%2Fg%2F11ksgbx3g0!19sChIJOdYpTF6ttTsRO6uaqgkR6Q?authuser=0&hl=en&rclk=1
MS Ramayya Shopping Mall,4.1,"1,335",Shopping mall,,089125 20120,https://www.google.com/maps/place/MS+Ramayya+Shopping+Mall/data=!4m7!3m6!1s0x3a3967afda16f661:0x872dd8a11eb09ab5!8m2!3d17.7770082!4d83.2165405!16s%2Fg%2F1tfnw_xc!19sChIJYfYW2q9nOToRtZqwHqHYLYc?authuser=0&hl=en&rclk=1
VMR Central Mall  Aganampudi,4.5,120,Outlet mall,"264, Visakhapatnam Steel Plant General Hospital Rd",,https://www.google.com/maps/place/VMR+Central+Mall++Aganampudi/data=!4m7!3m6!1s0x3a396fc362a2e17b:0xcbc485c001688cf5!8m2!3d17.687463!4d83.1375049!16s%2Fg%2F11vwpms7pq!19sChIJeGiYsNvOToR9YxoAcCFxMs?authuser=0&hl=en&rclk=1
South India Shopping Mall Eluru,4.5,"1,147",Outlet mall,"P39W+4VM, MDR77",077999 65656,https://www.google.com/maps/place/South+India+Shopping+Mall+Eluru/data=!4m7!3m6!1s0x3a3615b055079a4d:0xee0e28f1ceda798a!8m2!3d16.7176929!4d81.0973204!16s%2Fg%2F11scq_0_wx!19sChIJTZoHVbAVNjoRinnazvEoDu4?authuser=0&hl=en&rclk=1
Swathi Shopping Mall  Narasaraopet,4.5,"3,093",Shopping mall,,,https://www.google.com/maps/place/Swathi+Shopping+Mall++Narasaraopet/data=!4m7!3m6!1s0x3a4a81cd02240c11:0xbc612a8aff2384ac!8m2!3d16.2379323!4d80.0549356!16s%2Fg%2F11j0rw0fp7!19sChIJEQwkAs2BSjoRrIQj_4oqYbw?authuser=0&hl=en&rclk=1
Phoenix Mall Guntur,4.3,997,Shopping mall,"Door No #26, 21~42/C, Grand Trunk Rd",,https://www.google.com/maps/place/Phoenix+Mall+Guntur/data=!4m7!3m6!1s0x3a4a75d3b61be25b:0x4ad151065cf08388!8m2!3d16.2912861!4d80.4368473!16s%2Fg%2F11rvc1c5dy!19sChIJWIbttN1SjoRiIPwXAZR0Uo?authuser=0&hl=en&rclk=1
MGR shopping mall,4.6,12,Shopping mall,,,https://www.google.com/maps/place/MGR+shopping+mall/data=!4m7!3m6!1s0x3a3c77259fe98dd7:0x5a2f596cf06f9fc3!8m2!3d18.451026!4d83.6614625!16s%2Fg%2F11fkf2j5k5!19sChIJ143pnyV3PDoRw59v8GxZL1o?authuser=0&hl=en&rclk=1
CMR Shopping Mall Eluru,4.5,"3,501",Shopping mall,"APSRTC Bus Station, 25199, Vijayawada Road",076709 01431,https://www.google.com/maps/place/CMR+Shopping+Mall+Eluru/data=!4m7!3m6!1s0x3a36154eb7994a37:0x923e2edd5057995!8m2!3d16.7083003!4d81.0902422!16s%2Fg%2F11h99l2q52!19sChIJN0qZt04VNjoRlXkF1e3iIwk?authuser=0&hl=en&rclk=1
CMR Shopping Mall,4.7,"6,237",Shopping mall,"D.No : 3, 255, High School Rd, opp. MGR Mall",076709 01473,https://www.google.com/maps/place/CMR+Shopping+Mall/data=!4m7!3m6!1s0x3a37ef0b41d0975f:0xdbe04343a29dc8dd!8m2!3d16.5757873!4d82.0035894!16s%2Fg%2F11sfrtphvx!19sChIJX5fQQQvvNzoR3cidokND4Ns?authuser=0&hl=en&rclk=1
Swathi Shopping Mall  Chirala,4,"1,370",Shopping mall,,,https://www.google.com/maps/place/Swathi+Shopping+Mall++Chirala/data=!4m7!3m6!1s0x3a4a441770cae2bb:0xe4a6b184a2b6230b!8m2!3d15.82843!4d80.353935!16s%2Fg%2F11bysjp26q!19sChIJuLKcBdESjoRCyO2ooSxpuQ?authuser=0&hl=en&rclk=1
Fort City Central Mall,4.3,173,Shopping mall,"Railway Station Rd, beside Leela mahal Theater",,https://www.google.com/maps/place/Fort+City+Central+Mall/data=!4m7!3m6!1s0x3a3be5baa9ce1e87:0xf04bc27a2fbf8cdf!8m2!3d18.1103058!4d83.3975914!16s%2Fg%2F11swzmdt9h!19sChIJhx7OqbrlOzoR34y_L3rCS_A?authuser=0&hl=en&rclk=1
CMR Shopping Mall,4.8,519,Shopping mall,,,https://www.google.com/maps/place/CMR+Shopping+Mall/data=!4m7!3m6!1s0x3a49e748e1d84a05:0x639ef12ba5d7321b!8m2!3d16.1866899!4d81.1365562!16s%2Fg%2F11wnfd641c!19sChIJBUrY4UjnSToRGzLXpSvxnmM?authuser=0&hl=en&rclk=1
Kothamas Shopping Mall,3.7,"1,004",Shopping mall,,0863 222 2542,https://www.google.com/maps/place/Kothamas+Shopping+Mall/data=!4m7!3m6!1s0x3a4a75383dcb87eb:0xd2a6cfd991d7b1b1!8m2!3d16.2926995!4d80.4429192!16s%2Fg%2F1tc_jkgq!19sChIJ64fLPTh1SjoRsbHXkdnPptI?authuser=0&hl=en&rclk=1
Central Park,3.9,"2,158",Shopping mall,JCPC+CQV,,https://www.google.com/maps/place/Central+Park/data=!4m7!3m6!1s0x3a4d4b012e344b87:0xafc0fd881f8d93e1!8m2!3d13.6361181!4d79.4219299!16s%2Fg%2F1tdq4fc9!19sChIJh0s0LgFLTToR4ZONH4j9wK8?authuser=0&hl=en&rclk=1
Sri Jk Shopping Mall,3.8,71,Shopping mall,,089412 51251,https://www.google.com/maps/place/Sri+Jk+Shopping+Mall/data=!4m7!3m6!1s0x3a3c76e827477a8b:0x2641f5ecde663c47!8m2!3d18.4489444!4d83.6630796!16s%2Fg%2F11c530072w!19sChIJi3pHJh2PDoRRzxm3uz1QSY?authuser=0&hl=en&rclk=1
UNLIMITED Shopping Mall,4.2,891,Shopping mall,,085622 79600,https://www.google.com/maps/place/UNLIMITED+Shopping+Mall/data=!4m7!3m6!1s0x3bb3738d57f488e7:0xc939b55e4687cb8!8m2!3d14.4650404!4d78.8328333!16s%2Fg%2F11h5_v1tzh!19sChIJ54j0V41zszsRuHxo5FWbkww?authuser=0&hl=en&rclk=1
Ukon Shopping Mall,3.9,"1,912",Shopping mall,,098858 58448,https://www.google.com/maps/place/Ukon+Shopping+Mall/data=!4m7!3m6!1s0x3bb5e756436de047:0xd584be63add3983f!8m2!3d15.826176!4d78.026808!16s%2Fg%2F1tfk2wmz!19sChIJRBtQ1bntTsRP5jTrWOhNU?authuser=0&hl=en&rclk=1
GV Mall Amalapuram,4.7,"1,476",Shopping mall,,087422 55457,https://www.google.com/maps/place/GV+Mall+Amalapuram/data=!4m7!3m6!1s0x3a37efc7f76df11f:0x84159ff056f01e44!8m2!3d16.5764669!4d82.0025177!16s%2Fg%2F11y27z550t!19sChIJH_Ft98fvNzoRRB7wVvCfFYQ?authuser=0&hl=en&rclk=1
Sree Veerabhadra Swamy Shopping Mall,3.8,802,Shopping mall,,088974 91541,https://www.google.com/maps/place/Sree+Veerabhadra+Swamy+Shopping+Mall/data=!4m7!3m6!1s0x3bb372172f7c36ef:0x18e778127a522fe0!8m2!3d14.4811071!4d78.8231841!16s%2Fg%2F1td2sbf6!19sChIJ7zZ8LxdyszsR4C9SehJ45xg?authuser=0&hl=en&rclk=1
South India Shopping Mall Kadapa,4,255,Shopping mall,,1800 570 0999,https://www.google.com/maps/place/South+India+Shopping+Mall+Kadapa/data=!4m7!3m6!1s0x3bb3731466d80423:0x5786d9f373d0c0b2!8m2!3d14.4632386!4d78.8316153!16s%2Fg%2F11v65375vq!19sChIJIwTYZhRzszsRssDQc_PZhlc?authuser=0&hl=en&rclk=1
"KLM Fashion Mall, Nellore",4,"2,306",Shopping mall,"Gandhi Statue Center, 16/112, Trunk Rd",090302 60666,"https://www.google.com/maps/place/KLM+Fashion+Mall,+Nellore/data=!4m7!3m6!1s0x3a4c8cc99ea7f257:0x166d1a4c4e413be3!8m2!3d14.4516205!4d79.9834603!16s%2Fg%2F11f55450xg!19sChIJV_KnnsmMTDoR4ztBTkwabRY?authuser=0&hl=en&rclk=1"
Lalitha MegaMall,4,"1,008",Shopping mall,"Shop No 2, Harsha Plaza, 2/12, CB Rd",,https://www.google.com/maps/place/Lalitha+MegaMall/data=!4m7!3m6!1s0x3bb41cac1ac11fc5:0x88d73997ef3b3bf6!8m2!3d14.9076613!4d78.0130441!16s%2Fg%2F11c38dr3ss!19sChIJxR_BGqwctDsR9js775c514g?authuser=0&hl=en&rclk=1
Raji Secar SQUARE Malls,4.2,190,Outlet mall,CSI Christ Church Rd,,https://www.google.com/maps/place/Raji+Secar+SQUARE+Malls/data=!4m7!3m6!1s0x3bb373947f7f6b07:0x81576709bbff27e3!8m2!3d14.4653774!4d78.823575!16s%2Fg%2F11tdr6y15_!19sChIJB2t_f5RzszsR4yf_uwlnV4E?authuser=0&hl=en&rclk=1
JC MALL  RAJAHMUNDRY,4.5,147,Shopping mall,,,https://www.google.com/maps/place/JC+MALL++RAJAHMUNDRY/data=!4m7!3m6!1s0x3a37a3979e120fbd:0x23ab920f6a07d0e5!8m2!3d17.0063892!4d81.7899436!16s%2Fg%2F11w7kk00mp!19sChIJvQ8SnpejNzoR5dAHagSqyM?authuser=0&hl=en&rclk=1
A.S.R. Mall,4.9,27,Shopping mall,"12/427, Kanchigari St, beside R&B Office",090006 20727,https://www.google.com/maps/place/A.S.R.+Mall/data=!4m7!3m6!1s0x3bb64d25e8648883:0x4a2f4b8bb0e1c90a!8m2!3d15.62547!4d77.2754847!16s%2Fg%2F11g047_zh_!19sChIJg4hk6CVNtjsRCsnhsItLL0o?authuser=0&hl=en&rclk=1
South India Shopping Mall Anantapur,4.5,611,Shopping mall,,077999 65656,https://www.google.com/maps/place/South+India+Shopping+Mall+Anantapur/data=!4m7!3m6!1s0x3bb14b616bdd8053:0x551d40fa1ba293fb!8m2!3d14.6800605!4d77.5984367!16s%2Fg%2F11y5dyw_bt!19sChIJU4Dda2FLsTsR5OiG_pAHVU?authuser=0&hl=en&rclk=1
P.M.R Shopping Mall,3.9,133,Shopping mall,,098664 07769,https://www.google.com/maps/place/P.M.R+Shopping+Mall/data=!4m7!3m6!1s0x3bb2d49d9766e867:0x737f36c5075b8c6b!8m2!3d13.9590467!4d79.3500067!16s%2Fg%2F11b6pnhdvx!19sChIJZhml53UsjsRa4xbB8U2f3M?authuser=0&hl=en&rclk=1
