"Name","Avg_review","Reviews","Category","doJOZc","Address 1","Address","W4Efsd 7","Phone","Cw1rxd","R8c4Qb","Website","Cw1rxd 2","R8c4Qb 2"
"Lakme Salon","4.9","(761)","Beauty Parlour","","54-20/1-8C, PLOT, 78, Rd Number 2, near NAC KALYANA MANDAPAM","Closed","","081798 37979","","Website","https://salons.lakmesalon.in/lakme-salon-vijayawada-beauty-salons-guru-nanak-colony-vijayawada-349593/Home?utm_source=locator&utm_medium=googleplaces","","Directions"
"Naturals Salon","4.7","(2,100)","Hair salon","","·","Closed","·","091004 98801","","Website","https://salons.naturals.in/naturals-salon-beauty-salons-bairagi-patteda-tirupati-307608/Home?utm_source=locator&utm_medium=googleplaces","","Directions"
"THE PARK SALON","4.7","(148)","Beauty Parlour","","Satyanarayana swami tems, Gabdhinagar, Gnaolive street","Closed","","095154 74966","","Website","https://taazameatonline.com/shop/the-park-salon-benz-circle-vijayawada","","Directions"
"Loreal Maine street family salon","4.8","(1,838)","Beauty Parlour","","·","37-10-128/1, White house, beside kashyap departmental stores","·","099129 00222","","Directions","","",""
"The Vizag Hair Company","4.7","(615)","Beauty Parlour","","1st Floor, Dno: 9, SNF Building, 13-46/1/2, VIP Rd","·","","073573 58778","","Directions","","",""
"QBS Salon","4.6","(807)","Beauty Parlour","","·","Closed","·","098486 09996","","Website","http://www.qbssalon.com/","","Directions"
"Sundeep Kishan's Express Unisex Salon","4.5","(474)","Beauty Parlour","","1st Floor Mohiyuddin Estate, MG Rd, beside M&M Building, above Reflections","·","","095059 34934","","Directions","","",""
"Arshiyas hair&beauty training center","4.9","(925)","Beauty Parlour","","Naidupet 1st line, Koritepadu Rd","·","","091775 36867","","Directions","","",""
"Black and white Salon","4.4","(319)","Hair salon","","Lakshmipuram Main Rd","","","","","Directions","","",""
"Naturals Salon","4.5","(4,092)","Beauty Parlour","","·","Closed","·","085542 20088","","Website","https://salons.naturals.in/naturals-salon-beauty-salons-sai-nagar-anantapur-289480/Home?utm_source=locator&utm_medium=googleplaces","","Directions"
"Naturals Salon","4.6","(2,901)","Beauty Parlour","","·","Closed","·","081431 22658","","Website","https://salons.naturals.in/naturals-salon-beauty-salons-gandhi-nagar-krishna-307084/Home?utm_source=locator&utm_medium=googleplaces","","Directions"
"J STUDIO LUXURY BEAUTY STUDIO - Top Beauty Parlour, Skin Aesthetics, Hair Salon, Nail Art in P.M Palem Vizag","4.7","(636)","Beauty Parlour","","J STUDIO BUILDING DOOR NO 15-11 MIG 530 RATNAGIRI H.B.COLONY LAST BUS STOP MAIN ROAD PM PALEM","·","","098828 69999","","Directions","","",""
"Cheap and best Men's salon, Eluru Road, Vijayawada","4.8","(244)","Hairdresser","","28/2, Ground floor, Garimella Suryanarayana Complex, Eluru road, K Sri Rama Murthy Rd","·","","094943 16631","","Directions","","",""
"taha beauty trends ( hair bonding centre and make up studio) - best salon in Anantapur","4.8","(3,180)","Beauty Parlour","","5th Cross Rd, Near New Pavani Hospitals","Closed","","078278 28888","","Website","https://easysalon.in/taha_beauty_trends/qr/index.php?branch_id=UzN4eE9JUEUzaUltOERvTTJKVVNGUT09","","Directions"
"Naturals Salon","4.4","(2,136)","Hair salon","","·","Closed","·","085228 64444","","Website","https://salons.naturals.in/naturals-salon-beauty-salons-chandramouli-nagar-guntur-285356/Home?utm_source=locator&utm_medium=googleplaces","","Directions"
"Naturals Family Salon & Spa MiniBypass Road, Nellore","4.6","(921)","Beauty Parlour","","·","Closed","·","081219 06999","","Website","https://www.naturals.in/","","Directions"
"Naturals Salon","4.7","(943)","Beauty Parlour","","1st Floor, Shree Nilayam, No 55/8/35/2, opposite BSNL Tower","Closed","","063097 41929","","Website","https://salons.naturals.in/naturals-salon-beauty-salons-seethammadhara-visakhapatnam-307092/Home?utm_source=locator&utm_medium=googleplaces","","Directions"
"Salon one Unisex Hair , Beauty & (Beautician Training)","4.9","(150)","Beauty Parlour","","D.No- 9-6-7 , Arundal pet , Sbi Atm Up stair, opposite Syndicate Bank","·","","099516 84929","","Directions","","",""
"Naturals Salon","4.9","(837)","Beauty Parlour","","2nd Floor, Railway Station Rd, above Avantra shopping mall","Closed","","079892 92322","","Website","https://salons.naturals.in/naturals-salon-beauty-salons-yerramukkapalli-kadapa-323958/Home?utm_source=locator&utm_medium=googleplaces","","Directions"
"NUXE BEAUTY SALON & ACADEMY","4.7","(110)","Hair salon","","FRIST FLOOR, D.NO.31-7-20, near JYOTHY FURNITURE MALL","·","","099662 11818","","Directions","","",""
"AUKRITHI BEAUTY PARLOUR","4.8","(22)","Beauty Parlour","","12-11","","","","","Directions","","",""
"Hair Heaven Beauty Co.(HHB)Unisex salon","4.9","(36)","Hairdresser","","1st floor, 103, Prakasam Rd, opposite to purandardas complex","","","","","Directions","","",""
"Toni&Guy Hairdressing, Tadepalle","4.6","(176)","Hairdresser","","No-12/162, Mounika Venue 3rd Floor, Ward No:12, near, Nuthakki - Tadepalli Rd, near SBI Bank","Closed","","096152 91234","","Website","https://toniandguysalon.in/","","Directions"
"ESSENZCIA SALON","4.9","(183)","Beauty Parlour","","2nd floor, Dr. Siva Plaza, 40-7-20, PVP Mall Road","Closed","","","","Website","https://www.essenzcia.com/","","Directions"
"Alexander's hair & beauty salon","4.5","(151)","Beauty Parlour","","GJ8G+7JV, 26-27-77, Gandhi Nagar, opposite ALANKAR bakery","·","","093927 62535","","Directions","","",""
"Naturals Salon","4.1","(1,418)","Hair salon","","·","Closed","·","090521 71999","","Website","https://salons.naturals.in/naturals-salon-beauty-salons-prakash-nagar-kurnool-289916/Home?utm_source=locator&utm_medium=googleplaces","","Directions"
"Anu Beauty Salon","4.7","(124)","Hair salon","","·","11-1-37, Tilak Rd, opp. rythu bazar","·","099664 49897","","Directions","","",""
"Naturals Salon","4.8","(1,222)","Beauty Parlour","","·","Closed","","096666 55434","","Website","http://www.naturals.in/","","Directions"
"Jawed Habib Hair & Beauty Salon","4.1","(379)","Hairdresser","","CHHF+FGF, opposite ICICI bank","Closed","","093465 93145","","Website","https://jawedhabib.org/tenaliroad-guntur.html","","Directions"
"Naturals Salon","4.9","(707)","Beauty Parlour","","12/730/123, Anjuman Cir Rd, near NTR Statue","Closed","","093926 69399","","Website","https://salons.naturals.in/naturals-salon-beauty-salons-sanjay-nagar-anantapur-307596/Home?utm_source=locator&utm_medium=googleplaces","","Directions"
"NPHS Hair and Beauty Family Saloon - Hair Fixing - New Padmaja Hair Styles","4.4","(619)","Hair salon","","·","Closed","·","098492 77668","","Website","https://nphs9.com/","","Directions"
"Trendy Beauty Ladies Salon","5.0","(123)","Beauty Parlour","","Door no: 32/44 3, stars building, Trendy Beauty Ladies saloon, beside Aadhaya children's hospital","·","","086394 57584","","Directions","","",""
"SASS hair and beauty","4.9","(580)","Hair salon","","2nd floor, PVP square, MG Rd","·","","075191 11999","","Directions","","",""
"DH Loreal Unisex Salon & Spa","4.6","(108)","Beauty Parlour","","3rd Floor, KFC Building, Old Somalamma Temple Rd","Closed","","091689 86666","","Website","http://alorabeauty.in/","","Directions"
"Naturals Salon","4.6","(646)","Hair salon","","·","Closed","·","096768 13938","","Website","https://salons.naturals.in//naturals-salon-beauty-salons-v-d-puram-vijayawada-308621/Home?utm_source=locator&utm_medium=googleplaces","","Directions"
"Crazy cuts beauty and hair salon","4.8","(10)","Beauty Parlour","","pedda cheruvu 7th line Pedda cheruvu 7th line","·","","063013 67469","","Directions","","",""
"Trico Hair & Beauty Unisex Salon","4.4","(144)","Hair salon","","Nagarjuna St, near swathi theatre","·","","095817 70932","","Directions","","",""
"SPY unisex Salon","4.8","(83)","Hairdresser","","opp. Sarovar Mess","·","","098485 58494","","Directions","","",""
"Krishna Hair Saloon","5.0","(37)","Hair salon","","Pedakonduru, Main Street, near Vangaveeti Ranga Statue","","","","","Directions","","",""
"Prabhu Hair Salon","4.1","(49)","Hair salon","","Seelam Nukaraju Complex Road, Tadithota, opp. Bolineni Hospital","·","","095735 14196","","Directions","","",""
"New Looks Beauty Parlour","4.8","(26)","Beauty Parlour","","JMV3+F4W","","","","","Directions","","",""
"Her beauty beauty parlour","5.0","(34)","Beauty Parlour","","Main road, near Venkateswara mini bazar","","","","","Directions","","",""
"BARBERIA SALON","4.9","(48)","Hair salon","","67/2, Main Road, opp. Indian One Atm","Closed","","080562 32499","","Website","https://www.fresha.com/book-now/barberia-nadakuduru-fymapjaz/all-offer?id=1100646&pId=1043657","","Directions"
"SS NEW LOOK MEN'S BEAUTY PARLOUR HAIR CUTS","4.9","(32)","Hair salon","","·","SHOP NO -5, MAIN ROAD, near VINAYAKA TEMPLE","·","093468 35386","","Directions","","",""
"Cheap and Best Men's Salon, Vijayawada","4.3","(191)","Hairdresser","","No.32-12, 53/31, Siddhartha College Rd, opp. TREND's WOMEN","Closed","","063819 92348","","Website","https://cheapandbestsalon.in/","","Directions"
"Nani Cine Hair Styles","4.7","(140)","Hair salon","","Shop No.1_3_233, Four Pillars Centre","·","","097041 04182","","Directions","","",""
"Naturals Hair & Beauty Salon Chilakaluripet","4.7","(119)","Beauty Parlour","","1st Floor, RRR Complex, Bhaskar Centre, D.No. 7-413, beside Hero show room","Closed","","077770 12395","","Website","http://www.naturals.in/","","Directions"
"Larken Unisex Hair Makeup Beauty & Tattoo Studio","4.1","(655)","Hair salon","","10-116-2, MR Palli Rd, near West Church Road","·","","096030 22333","","Directions","","",""
"Gopi Hair style salon shop","5.0","(1)","Hair salon","","PG8V+HHW SBI Bank, opposite Gopi Hair style shop","","","","","Directions","","",""
"THE HAIR MAGIC STUDIO(saloon)","4.9","(30)","Hair salon","","GJ3F+99F, Gunturuvari St","","","","","Directions","","",""
"Naturals Salon","4.8","(130)","Beauty Parlour","","14/8/11, Gavarapalem Rd","Closed","","094900 56464","","Website","https://salons.naturals.in/naturals-salon-beauty-salons-arundhati-nagar-anakapalle-304392/Home?utm_source=locator&utm_medium=googleplaces","","Directions"
"Sri sai Teenage men's hair salon","4.9","(14)","Hairdresser","","Main road, beside RCM CHURCH","·","","099660 66194","","Directions","","",""
"Be You Salon Bharathinagar","4.5","(91)","Hair salon","","·","54-15-13 Srinivasa Nagar Bank Colony","·","088864 54567","","Directions","","",""
"RAGHAVENDRA HAIR STYLES & MENS BEAUTY PARLOUR [A/C]","4.1","(102)","Barber shop","","·","RAGHAVENDRA HAIR STYLES & MENS BEAUTY PARLOUR [A/C Opps-suvarna kalyanamandapam Parasupeta","·","098660 87079","","Directions","","",""
"SRINU hair styles","4.7","(30)","Beauty Parlour","","·","","","096768 53841","","Directions","","",""
"Hair Expo","4.4","(43)","Beauty Parlour","","Chinna Waltair Main Rd","·","","081004 58777","","Directions","","",""
"Aniq Unisex Beauty salon","4.3","(176)","Beauty Parlour","","Bustand, Railway, Station Rd","","","","","Directions","","",""
"Chalam Hair Saloon","4.7","(36)","Hair salon","","No. 22-28-1, Shop No. 13, SKDRM Complex, Eluru Rd","·","","099486 06183","","Directions","","",""
"Naturals Salon","3.9","(652)","Beauty Parlour","","2/1016 Kamalambal Street, Readspet, next to ICICI Bank","Closed","","088866 32532","","Website","https://salons.naturals.in/naturals-salon-beauty-salons-kr-palli-chittoor-307109/Home?utm_source=locator&utm_medium=googleplaces","","Directions"
"Royal Hair Salon","4.7","(6)","Hair salon","","RPQ3+J45","·","","096522 33753","","Directions","","",""
"Naturals Salon","4.6","(128)","Beauty Parlour","","1st Floor, No 12/530/2, Ashok Piller Circle, near Siddi Basha Dargah","Closed","","078427 91219","","Website","https://salons.naturals.in/naturals-salon-beauty-salons-tadipatri-tadipatri-304367/Home?utm_source=locator&utm_medium=googleplaces","","Directions"
"LETO Unisex Salon","4.5","(143)","Hair salon","","1st Floor, 22-4-72/A, Road, near by Gangaaram Function Hall","","","","","Directions","","",""
"Sai hair salon beauty parlour and tattoo studio","4.5","(10)","Tattoo artist","","YSR Rd","·","","090104 48996","","Directions","","",""
"New Looks Beauty Clinic And Cosmetics","4.8","(73)","Beauty Parlour","","Geeta Mandir Rd","","","","","Directions","","",""
"Sai hair cutting salon","5.0","(5)","Hair salon","","8FQQ+XJJ, Neelema complex, goudapalam road","·","","097047 73188","","Directions","","",""
"Enn Style Salon Hair & Beauty Salon","4.2","(194)","Hair salon","","MJ46+GG3","·","","090006 26131","","Directions","","",""
"Kokila herbal beauty parlour","4.9","(196)","Beauty Parlour","","RX5G+QH3","·","","093985 56899","","Directions","","",""
"Shear Genius Unisex Salon","3.9","(90)","Hair salon","","Arunna China Apparao Complex , Beside SBI Sriharipuram branch, Near Coromandal Gate","Closed","","089125 79166","","Website","http://www.sheargenius.co.in/","","Directions"
"Kick Hair Salon","4.7","(37)","Hair salon","","kota center, near state Bank bazar branch","","","077803 21010","","Directions","","",""
"Karthik Hair Style","5.0","(5)","Hairdresser","","1 SKU","·","","080082 69473","","Directions","","",""
"Jawed Habib Hair & Beauty Salon","4.3","(70)","Beauty Parlour","","Mangamuru Rd, near Sai Baba Temple Road, opp. RAITHU BAZAR","Closed","","1800 102 6116","","Website","https://jawedhabib.org/lawyer-pet-ongole.html","","Directions"
"Lakshmi narasimha swamy hair styles","4.7","(16)","Hair salon","","Idugullapalli & Polavaram Rd Rd","·","","095504 02677","","Directions","","",""
"JAWED HABIB","3.9","(839)","Hairdresser","","·","Closed","·","095152 66733","","Website","http://www.jawedhabib.co.in/","","Directions"
"Giri Hair Salon","4.6","(42)","Hairdresser","","Old, Market Rd, opp. SPR Plaza","·","","099591 36110","","Directions","","",""
"Ablish Hair Styles & Beauty Care","4.5","(36)","Hair salon","","# 41-1-109 Feeder Road Near Fire Station, near Mantada Vari Street","·","","098669 06377","","Directions","","",""
"Naturals Salon","4.7","(78)","Beauty Parlour","","Palamaner Road, opposite Hero Showroom","Closed","","096035 44456","","Website","https://salons.naturals.in/naturals-salon-beauty-salons-ram-nagar-colony-chittoor-307597/Home?utm_source=locator&utm_medium=googleplaces","","Directions"
