index,Name,Address,Category,Phone,Avg_review,Reviews,Website
15,"J STUDIO: Luxury Beauty Parlour, Skin Aesthetics, Hair Salon, Nail Art & Extensions in Pedda Waltair Vizag",Closed,Beauty Parlour,094913 32227,4.6,(168),http://www.jstudioo.com/
16,Green Trends Unisex Hair & Style Salon,Closed,Beauty Parlour,0861 235 4466,4.7,"(1,439)",http://www.mygreentrends.in/
17,Green Trends Unisex Hair & Style Salon,Closed,Beauty Parlour,089774 51651,4.7,"(1,602)",http://www.mygreentrends.in/
18,Jawed Habib International Hair&Beauty Salon For Men And Women,Closed,Hair salon,077991 06359,4.5,"(1,166)",https://jawedhabib.org/raju-road-anantapur.html
19,Naturals Salon - Best Unisex Beauty Salon in Narasaraopet,Closed,Hairdresser,096469 34444,4.8,(484),https://naturals.in/
20,Naturals Salon,Closed,Beauty Parlour,091004 64646,4.5,"(2,592)",https://salons.naturals.in/naturals-salon-beauty-salons-ramachandra-rao-pet-west-godavari-289915/Home?utm_source=locator&utm_medium=googleplaces
21,Green Trends -Unisex Hair & Style Salon Ongole,Closed,Beauty Parlour,085922 24333,4.7,"(1,974)",http://www.mygreentrends.in/
22,Evoke Hair and Beauty Salon.,·,Beauty Parlour,097014 59964,4.4,(474),
23,Naturals Signature Salon,Closed,Beauty Parlour,095507 35577,4.6,"(2,182)",https://signature.naturals.in//naturals-signature-salon-beauty-salons-benz-circle-vijayawada-319067/Home?utm_source=store_locator&utm_medium=brand_website
24,Lakme Salon,Closed,Beauty Parlour,081798 37979,4.9,(761),https://salons.lakmesalon.in/lakme-salon-vijayawada-beauty-salons-guru-nanak-colony-vijayawada-349593/Home?utm_source=locator&utm_medium=googleplaces
25,Naturals Salon,Closed,Hair salon,091004 98801,4.7,"(2,100)",https://salons.naturals.in/naturals-salon-beauty-salons-bairagi-patteda-tirupati-307608/Home?utm_source=locator&utm_medium=googleplaces
26,THE PARK SALON,Closed,Beauty Parlour,095154 74966,4.7,(148),https://taazameatonline.com/shop/the-park-salon-benz-circle-vijayawada
27,Loreal Maine street family salon,"37-10-128/1, White house, beside kashyap departmental stores",Beauty Parlour,099129 00222,4.8,"(1,838)",
28,The Vizag Hair Company,·,Beauty Parlour,073573 58778,4.7,(615),
29,QBS Salon,Closed,Beauty Parlour,098486 09996,4.6,(807),http://www.qbssalon.com/
30,Sundeep Kishan's Express Unisex Salon,·,Beauty Parlour,095059 34934,4.5,(474),
31,Arshiyas hair&beauty training center,·,Beauty Parlour,091775 36867,4.9,(925),
32,Black and white Salon,,Hair salon,,4.4,(319),
33,Naturals Salon,Closed,Beauty Parlour,085542 20088,4.5,"(4,092)",https://salons.naturals.in/naturals-salon-beauty-salons-sai-nagar-anantapur-289480/Home?utm_source=locator&utm_medium=googleplaces
34,Naturals Salon,Closed,Beauty Parlour,081431 22658,4.6,"(2,901)",https://salons.naturals.in/naturals-salon-beauty-salons-gandhi-nagar-krishna-307084/Home?utm_source=locator&utm_medium=googleplaces
35,"J STUDIO LUXURY BEAUTY STUDIO - Top Beauty Parlour, Skin Aesthetics, Hair Salon, Nail Art in P.M Palem Vizag",·,Beauty Parlour,098828 69999,4.7,(636),
36,"Cheap and best Men's salon, Eluru Road, Vijayawada",·,Hairdresser,094943 16631,4.8,(244),
37,taha beauty trends ( hair bonding centre and make up studio) - best salon in Anantapur,Closed,Beauty Parlour,078278 28888,4.8,"(3,180)",https://easysalon.in/taha_beauty_trends/qr/index.php?branch_id=UzN4eE9JUEUzaUltOERvTTJKVVNGUT09
38,Naturals Salon,Closed,Hair salon,085228 64444,4.4,"(2,136)",https://salons.naturals.in/naturals-salon-beauty-salons-chandramouli-nagar-guntur-285356/Home?utm_source=locator&utm_medium=googleplaces
39,"Naturals Family Salon & Spa MiniBypass Road, Nellore",Closed,Beauty Parlour,081219 06999,4.6,(921),https://www.naturals.in/
40,Naturals Salon,Closed,Beauty Parlour,063097 41929,4.7,(943),https://salons.naturals.in/naturals-salon-beauty-salons-seethammadhara-visakhapatnam-307092/Home?utm_source=locator&utm_medium=googleplaces
41,"Salon one Unisex Hair , Beauty & (Beautician Training)",·,Beauty Parlour,099516 84929,4.9,(150),
42,Naturals Salon,Closed,Beauty Parlour,079892 92322,4.9,(837),https://salons.naturals.in/naturals-salon-beauty-salons-yerramukkapalli-kadapa-323958/Home?utm_source=locator&utm_medium=googleplaces
43,NUXE BEAUTY SALON & ACADEMY,·,Hair salon,099662 11818,4.7,(110),
44,AUKRITHI BEAUTY PARLOUR,,Beauty Parlour,,4.8,(22),
45,Hair Heaven Beauty Co.(HHB)Unisex salon,,Hairdresser,,4.9,(36),
46,"Toni&Guy Hairdressing, Tadepalle",Closed,Hairdresser,096152 91234,4.6,(176),https://toniandguysalon.in/
47,ESSENZCIA SALON,Closed,Beauty Parlour,,4.9,(183),https://www.essenzcia.com/
48,Alexander's hair & beauty salon,·,Beauty Parlour,093927 62535,4.5,(151),
49,Naturals Salon,Closed,Hair salon,090521 71999,4.1,"(1,418)",https://salons.naturals.in/naturals-salon-beauty-salons-prakash-nagar-kurnool-289916/Home?utm_source=locator&utm_medium=googleplaces
50,Anu Beauty Salon,"11-1-37, Tilak Rd, opp. rythu bazar",Hair salon,099664 49897,4.7,(124),
51,Naturals Salon,Closed,Beauty Parlour,096666 55434,4.8,"(1,222)",http://www.naturals.in/
52,Jawed Habib Hair & Beauty Salon,Closed,Hairdresser,093465 93145,4.1,(379),https://jawedhabib.org/tenaliroad-guntur.html
53,Naturals Salon,Closed,Beauty Parlour,093926 69399,4.9,(707),https://salons.naturals.in/naturals-salon-beauty-salons-sanjay-nagar-anantapur-307596/Home?utm_source=locator&utm_medium=googleplaces
54,NPHS Hair and Beauty Family Saloon - Hair Fixing - New Padmaja Hair Styles,Closed,Hair salon,098492 77668,4.4,(619),https://nphs9.com/
55,Trendy Beauty Ladies Salon,·,Beauty Parlour,086394 57584,5.0,(123),
56,SASS hair and beauty,·,Hair salon,075191 11999,4.9,(580),
57,DH Loreal Unisex Salon & Spa,Closed,Beauty Parlour,091689 86666,4.6,(108),http://alorabeauty.in/
58,Naturals Salon,Closed,Hair salon,096768 13938,4.6,(646),https://salons.naturals.in//naturals-salon-beauty-salons-v-d-puram-vijayawada-308621/Home?utm_source=locator&utm_medium=googleplaces
59,Crazy cuts beauty and hair salon,·,Beauty Parlour,063013 67469,4.8,(10),
60,Trico Hair & Beauty Unisex Salon,·,Hair salon,095817 70932,4.4,(144),
61,SPY unisex Salon,·,Hairdresser,098485 58494,4.8,(83),
62,Krishna Hair Saloon,,Hair salon,,5.0,(37),
63,Prabhu Hair Salon,·,Hair salon,095735 14196,4.1,(49),
64,New Looks Beauty Parlour,,Beauty Parlour,,4.8,(26),
65,Her beauty beauty parlour,,Beauty Parlour,,5.0,(34),
66,BARBERIA SALON,Closed,Hair salon,080562 32499,4.9,(48),https://www.fresha.com/book-now/barberia-nadakuduru-fymapjaz/all-offer?id=1100646&pId=1043657
67,SS NEW LOOK MEN'S BEAUTY PARLOUR HAIR CUTS,"SHOP NO -5, MAIN ROAD, near VINAYAKA TEMPLE",Hair salon,093468 35386,4.9,(32),
68,"Cheap and Best Men's Salon, Vijayawada",Closed,Hairdresser,063819 92348,4.3,(191),https://cheapandbestsalon.in/
69,Nani Cine Hair Styles,·,Hair salon,097041 04182,4.7,(140),
70,Naturals Hair & Beauty Salon Chilakaluripet,Closed,Beauty Parlour,077770 12395,4.7,(119),http://www.naturals.in/
71,Larken Unisex Hair Makeup Beauty & Tattoo Studio,·,Hair salon,096030 22333,4.1,(655),
72,Gopi Hair style salon shop,,Hair salon,,5.0,(1),
73,THE HAIR MAGIC STUDIO(saloon),,Hair salon,,4.9,(30),
74,Naturals Salon,Closed,Beauty Parlour,094900 56464,4.8,(130),https://salons.naturals.in/naturals-salon-beauty-salons-arundhati-nagar-anakapalle-304392/Home?utm_source=locator&utm_medium=googleplaces
75,Sri sai Teenage men's hair salon,·,Hairdresser,099660 66194,4.9,(14),
76,Be You Salon Bharathinagar,54-15-13 Srinivasa Nagar Bank Colony,Hair salon,088864 54567,4.5,(91),
77,RAGHAVENDRA HAIR STYLES & MENS BEAUTY PARLOUR [A/C],RAGHAVENDRA HAIR STYLES & MENS BEAUTY PARLOUR [A/C Opps-suvarna kalyanamandapam Parasupeta,Barber shop,098660 87079,4.1,(102),
78,SRINU hair styles,,Beauty Parlour,096768 53841,4.7,(30),
79,Hair Expo,·,Beauty Parlour,081004 58777,4.4,(43),
80,Aniq Unisex Beauty salon,,Beauty Parlour,,4.3,(176),
81,Chalam Hair Saloon,·,Hair salon,099486 06183,4.7,(36),
82,Naturals Salon,Closed,Beauty Parlour,088866 32532,3.9,(652),https://salons.naturals.in/naturals-salon-beauty-salons-kr-palli-chittoor-307109/Home?utm_source=locator&utm_medium=googleplaces
83,Royal Hair Salon,·,Hair salon,096522 33753,4.7,(6),
84,Naturals Salon,Closed,Beauty Parlour,078427 91219,4.6,(128),https://salons.naturals.in/naturals-salon-beauty-salons-tadipatri-tadipatri-304367/Home?utm_source=locator&utm_medium=googleplaces
85,LETO Unisex Salon,,Hair salon,,4.5,(143),
86,Sai hair salon beauty parlour and tattoo studio,·,Tattoo artist,090104 48996,4.5,(10),
87,New Looks Beauty Clinic And Cosmetics,,Beauty Parlour,,4.8,(73),
88,Sai hair cutting salon,·,Hair salon,097047 73188,5.0,(5),
89,Enn Style Salon Hair & Beauty Salon,·,Hair salon,090006 26131,4.2,(194),
90,Kokila herbal beauty parlour,·,Beauty Parlour,093985 56899,4.9,(196),
91,Shear Genius Unisex Salon,Closed,Hair salon,089125 79166,3.9,(90),http://www.sheargenius.co.in/
92,Kick Hair Salon,,Hair salon,077803 21010,4.7,(37),
93,Karthik Hair Style,·,Hairdresser,080082 69473,5.0,(5),
94,Jawed Habib Hair & Beauty Salon,Closed,Beauty Parlour,1800 102 6116,4.3,(70),https://jawedhabib.org/lawyer-pet-ongole.html
95,Lakshmi narasimha swamy hair styles,·,Hair salon,095504 02677,4.7,(16),
96,JAWED HABIB,Closed,Hairdresser,095152 66733,3.9,(839),http://www.jawedhabib.co.in/
97,Giri Hair Salon,·,Hairdresser,099591 36110,4.6,(42),
98,Ablish Hair Styles & Beauty Care,·,Hair salon,098669 06377,4.5,(36),
99,Naturals Salon,Closed,Beauty Parlour,096035 44456,4.7,(78),https://salons.naturals.in/naturals-salon-beauty-salons-ram-nagar-colony-chittoor-307597/Home?utm_source=locator&utm_medium=googleplaces
