index,Name,Address,Category,Phone,Avg_review,Reviews,Website
45,Manvi Hospitals,"D.No 291243, Venkataratnam Street, Nakkala Rd",Hospital,093911 76126,4.8,364,https://manvihospitals.com/
46,ASTER RAMESH HOSPITALS Ongole  (Sanghamitra Hospital),"NH 5, Near, South Bypass Junction",Hospital,085922 34599,4.9,"13,724",https://www.asterhospitals.in/hospitals/rameshsanghamitrahospitalongole
47,Sai Sudha Hospital,"D.No: 21, 124, Jawahar St, beside shravani hospital",Private hospital,0884 237 6634,4.3,684,https://saisudhamultispecialtyhospital.com/
49,Keerthi Hospital,New vasavi nagar,Hospital,090105 02212,4.5,306,http://keerthihospital.in/
50,Vijaya Super Speciality Hospital,"292692A, Bolivar Street",General hospital,094401 44477,4.5,"1,699",http://www.vijayahospitals.com/
51,Ramesh Hospitals,"Dr Ramesh Hospital Rd, near ITI College Bus stop",Hospital,0866 246 3463,4.8,"14,820",https://www.asterhospitals.in/asterrameshhospitals
52,SRI KRISHNA HOSPITAL,"20787/1A, Sundaraiah Bhavan Rd",Specialized hospital,073373 30600,4.8,125,http://www.srikrishnahospital.com/
53,BELEAF HOSPITALS | MULTISPECIALITY HOSPITAL VIJAYAWADA,"D.No: 31, 9 8/7, Jadagamvari St, opposite beleaf medschool",Specialized hospital,079813 02622,4.5,222,https://beleafhospitals.com/
54,MB Hospitals,"Plot:15B, APIIC Health City",Hospital,063019 91460,4.8,753,https://mbhospitalsvizag.com/
56,Giffard Memorial Hospital,"QRQV+Q5P American Hospital Road, Usha Bala Nagar Main Rd",Hospital,086562 32504,4.4,532,https://gmh.metasofsda.in/
57,"Aayush Hospitals, Eluru",·,Hospital,088122 27755,4.7,575,http://www.aayushhospitals.com/
61,JMR Super Speciality Hospital,"D.no: 23B546, Eedaravari street, near alluri sitaramaraju statue, near AP state Audit office",Hospital,095344 88888,4.9,54,https://jmrhospitals.com/
63,Amrutha Heart Hospital,Sixty Feet Rd,Heart hospital,073822 99540,4.0,307,http://amruthahearthospital.com/
64,Karumuri Super Speciality Hospital  Guntur,"H No: 13, 473, Old Club Rd",Hospital,079959 81521,2.7,178,http://www.karumurihospital.com/
66,Aayushman Hospital,"1711, opposite KGH Out Gate",Hospital,081889 31889,4.5,436,https://aayushmanhospital.in/
67,Mahatma Gandhi Cancer Hospital & Research Institute,"Plot No:1, Sector:7",Hospital,083410 33744,4.9,"6,174",https://www.mgcancerhospital.com/
70,RaviPrakash Silicon Andhra Sanjivani MultiSpeciality Hospital,Barlapudi Rd,Hospital,091219 01919,3.7,77,http://www.siliconandhra.org/
76,Vivekananda Super Speciality Hospital,"BackSide Chitarlyala Cinema Hall, Kotappakonda Rd",Heart hospital,063052 34649,4.9,39,http://vivekanandahospitalnrt.com/
79,Union Hospitals  Best Multi Specialty Hospital in Vijayawada,"D. No, : 2947, Kodandarami Reddy St",Hospital,083949 59108,3.7,216,https://unionhospitals.com/
80,Radha Krishna Hospital,"inkollu mandal, 998",Hospital,095338 38287,4.9,85,https://rkayurvedam.com/beta2/
83,UPAS Hospital,"Railway Station Rd, near Railway station",Hospital,072079 50541,4.6,668,http://www.upashospitals.com/
85,Indus Hospitals,"KGH Down Rd, near Jagadamba Junction",Hospital,099122 22456,4.0,463,http://www.indushospital.com/
86,Matrusri Multispeciality Hospital,"8/437 kl, Ananthapur road, near Tikka lakshmamma avva temple",Hospital,085522 50250,4.5,96,http://www.arksmatrusri.com/
93,BEST Super Speciality Hospital  Vijayawada,Ravi Chettu Center,Hospital,083677 22722,4.9,121,https://www.bestsuperspeciality.com/
94,Safe Hands multi speciality hospital,"Near Bharath petrol bunk, Manipuram Brg, beside RTC busstand",Hospital,098488 18199,4.7,49,https://www.safehospitalguntur.com/
95,SUNRISE HOSPITAL,"24143 krishna reddy complex, Kalyandurgam Rd, opp. Raja Hotel",Hospital,088863 96666,4.8,179,https://svcsunrisehospital.com/
99,Balaji Hospital,·,Hospital,085182 21227,3.5,93,http://balajihospital.in/
103,St Joseph's General Hospital,"FX4M+X6C, Near St. Joseph's girls High School",Hospital,0861 233 1186,4.2,45,https://www.sjhnellore.com/
108,Sunrise Multi Speciality Hospital Kadapa,"1st Floor, Sai Ram Towers, Dno. 2787, Sri Hari Rao St",Hospital,088866 55565,3.4,200,https://www.google.com/search?q=Sunrise+Multi+Speciality+Hospital+Kadapa&stick=H4sIAAAAAAAA_NgU1I1qDBOSjI2NzI0SDYyT0szTE6xAgolWpilJlqkmhsamppZJhkuYtUILs0ryixOVfAtzSnJVAguSE3OTMzJLKlU8MgvLsgsScxR8E5MSSxIBACRtPABVAAAAA&hl=enGB&mat=CYP2Zs4OQCCEElcB8pgkaIWSrazNLrYk8t0XgY2JFtSMaqBc915DgomvMNUKGFIY6quCPGXcqi92NFGaktJzbM0cN6gzN4zUongNVqt5gs5j_ce35sPcsS6DuSRAGnA1w&authuser=0&ved=2ahUKEwja9f6IpL_9AhXvzgGHQzlCEsQMgIegQICRAe
112,Sri Krishna Hospital,"Bendapudi Vari St, opp. Vijaya Bar",Hospital,091540 69506,4.6,320,https://sites.google.com/view/srikrishnahospitaleluru
119,CIPACA  M S Multispeciality Hospital  24 Hrs Emergency & ICU Care Hospital,"1st floor, Punjab National Bank Building, State Bank Road, opp. Head Post office",Hospital,082382 38233,5.0,14,https://www.cipaca.com/msmultispecialityhospital24hrsemergencyhospitalinpithapuram
