index,Name,Address,Category,Phone,Avg_review,Reviews,Website
38,Medicover Hospitals | Best Multispeciality Hospital in Srikakulam,MDR6,Hospital,040 6833 4455,4.8,"5,009",https://www.medicoverhospitals.in/hospitals/andhrapradesh/srikakulam/?utm_source=google&utm_medium=organic&utm_campaign=gmbsrikakulam
39,Padmasri Hospital,"494816/5, NH16",General hospital,092466 34747,3.2,153,
40,Apollo Hospitals Ramnagar Vizag,"Door No 10, Executive Court, 5080, Waltair Main Rd, opp. Daspalla",Hospital,1860 500 1066,4.8,"4,057",https://www.apollohospitals.com/vizag/apollohospitalsvizag/
41,St.Joseph's Hospital,"Zilla Parishad Juction, Gokhale Rd, beside Spencer's Neighborhood Store",General hospital,089127 06974,4.2,123,http://www.sjhvsp.org/
42,Arka Multispecialty Hospital,"10/219E, Eluru road  Bypass road, junction, beside Nayara petrol bunk",Hospital,095228 66999,4.9,849,http://www.arkahospitals.in/
43,APIC Hospital  Best Diabetes & General Hospital in Ongole |Female General Physician |Fever Treatment,"Opp. Sai Vijaya diagnostic Center, Sundaraiah Bhavan Rd",Hospital,077779 99565,4.9,239,http://apichospital.com/?utm_source=gmb&utm_medium=referral
44,Andhra Hospitals Machilipatnam,"D.NO. 124&125, RAJU PET MACHILIPATNAM, Azad Rd",General hospital,086722 21199,4.2,215,
45,Manvi Hospitals,"D.No 291243, Venkataratnam Street, Nakkala Rd",Hospital,093911 76126,4.8,364,https://manvihospitals.com/
46,ASTER RAMESH HOSPITALS Ongole  (Sanghamitra Hospital),"NH 5, Near, South Bypass Junction",Hospital,085922 34599,4.9,"13,724",https://www.asterhospitals.in/hospitals/rameshsanghamitrahospitalongole
47,Sai Sudha Hospital,"D.No: 21, 124, Jawahar St, beside shravani hospital",Private hospital,0884 237 6634,4.3,684,https://saisudhamultispecialtyhospital.com/
48,Life Care Hospitals | Best Multi Speciality Hospital in Kankipadu,"PMR LIFE CARE HOSPITALS, hotel & Convention center, opposite Ayana",Hospital,0866 282 2333,4.3,22,
49,Keerthi Hospital,New vasavi nagar,Hospital,090105 02212,4.5,306,http://keerthihospital.in/
50,Vijaya Super Speciality Hospital,"292692A, Bolivar Street",General hospital,094401 44477,4.5,"1,699",http://www.vijayahospitals.com/
51,Ramesh Hospitals,"Dr Ramesh Hospital Rd, near ITI College Bus stop",Hospital,0866 246 3463,4.8,"14,820",https://www.asterhospitals.in/asterrameshhospitals
52,SRI KRISHNA HOSPITAL,"20787/1A, Sundaraiah Bhavan Rd",Specialized hospital,073373 30600,4.8,125,http://www.srikrishnahospital.com/
53,BELEAF HOSPITALS | MULTISPECIALITY HOSPITAL VIJAYAWADA,"D.No: 31, 9 8/7, Jadagamvari St, opposite beleaf medschool",Specialized hospital,079813 02622,4.5,222,https://beleafhospitals.com/
54,MB Hospitals,"Plot:15B, APIIC Health City",Hospital,063019 91460,4.8,753,https://mbhospitalsvizag.com/
55,King George Hospital,"P854+FCV, KGH Down Rd",Government hospital,,3.8,929,http://www.kghvisakhapatnam.org/
56,Giffard Memorial Hospital,"QRQV+Q5P American Hospital Road, Usha Bala Nagar Main Rd",Hospital,086562 32504,4.4,532,https://gmh.metasofsda.in/
57,"Aayush Hospitals, Eluru",·,Hospital,088122 27755,4.7,575,http://www.aayushhospitals.com/
58,HEALTH CITY  VIZAG (APIIC),Q876+CJG,Hospital,089125 58036,4.8,128,
59,American Hospital,GJ3J+RFV,Hospital,,3.9,173,
60,Andhra Hospitals,"Simhachalam Building, Stadium Rd",Hospital,089222 76235,3.5,119,
61,JMR Super Speciality Hospital,"D.no: 23B546, Eedaravari street, near alluri sitaramaraju statue, near AP state Audit office",Hospital,095344 88888,4.9,54,https://jmrhospitals.com/
62,Amma Hospital and Vaccination Center,Nandyal Rd,General hospital,,4.9,"3,063",
63,Amrutha Heart Hospital,Sixty Feet Rd,Heart hospital,073822 99540,4.0,307,http://amruthahearthospital.com/
64,Karumuri Super Speciality Hospital  Guntur,"H No: 13, 473, Old Club Rd",Hospital,079959 81521,2.7,178,http://www.karumurihospital.com/
65,Ammaji Pavani Memorial Super Speciality Hospital,"1st Ln, beside Gowdiamuttam",Hospital,,4.5,393,http://apm.maram.company/
66,Aayushman Hospital,"1711, opposite KGH Out Gate",Hospital,081889 31889,4.5,436,https://aayushmanhospital.in/
67,Mahatma Gandhi Cancer Hospital & Research Institute,"Plot No:1, Sector:7",Hospital,083410 33744,4.9,"6,174",https://www.mgcancerhospital.com/
68,Super specality hospital,"MJ45+268, JNTU Rd",Government hospital,,4.0,95,
69,Pinnamaneni Siddhartha General Hospital,HR3J+JGW,Hospital,086762 57311,3.3,220,
70,RaviPrakash Silicon Andhra Sanjivani MultiSpeciality Hospital,Barlapudi Rd,Hospital,091219 01919,3.7,77,http://www.siliconandhra.org/
71,Kings Hospital,"Kings Hospital, 21/148, Sivalingam Pillai Rd, near Seven Roads Circle",Hospital,094921 26041,4.8,149,
72,KVR HOSPITAL,behind tourist hotel,Hospital,085142 47365,4.4,82,
73,Pranahitha Multi Speciality Hospital.,"122529/A, Boss Statue Circle, Main Road",Hospital,0863 222 4555,4.6,79,
74,Prasanthi Hospitals,Vangaveeti Mohan Ranga Rd,Hospital,,4.4,43,
75,Pujitha Hospital,"Near Spatagiri Bank, Panta Kaluva Rd",General hospital,0866 249 5622,4.1,65,
76,Vivekananda Super Speciality Hospital,"BackSide Chitarlyala Cinema Hall, Kotappakonda Rd",Heart hospital,063052 34649,4.9,39,http://vivekanandahospitalnrt.com/
77,Dodla Subbareddy Government General Hospital,"CXF6+QQX, GNT Rd",Hospital,,3.2,145,
78,Chinnapuram Hospital( Venkatarama Hospital) Ortho and Gynecologyand obstetrics,·,Hospital,077993 89770,4.5,256,
79,Union Hospitals  Best Multi Specialty Hospital in Vijayawada,"D. No, : 2947, Kodandarami Reddy St",Hospital,083949 59108,3.7,216,https://unionhospitals.com/
80,Radha Krishna Hospital,"inkollu mandal, 998",Hospital,095338 38287,4.9,85,https://rkayurvedam.com/beta2/
81,INDOBRITISH Hospital,·,Hospital,091000 69930,4.1,120,
82,PAVANI HOSPITAL,"123195, 5th Cross Rd",General hospital,085542 45333,4.1,170,
83,UPAS Hospital,"Railway Station Rd, near Railway station",Hospital,072079 50541,4.6,668,http://www.upashospitals.com/
84,Ashoka Hospitals,"Door No 29, 6 9/a, Nakkala Rd",Hospital,,4.7,603,http://ashokahospitals.com/
85,Indus Hospitals,"KGH Down Rd, near Jagadamba Junction",Hospital,099122 22456,4.0,463,http://www.indushospital.com/
86,Matrusri Multispeciality Hospital,"8/437 kl, Ananthapur road, near Tikka lakshmamma avva temple",Hospital,085522 50250,4.5,96,http://www.arksmatrusri.com/
87,Sri Surya Hospital,"1514 9/1, Krishna Nagar Rd",General hospital,089125 52233,3.0,199,
88,Likitha Super Speciality Hospital,"No 21557/A, 21566, Sattenpalle Road, Kota Centre, opp. HPCL Petrol Pump",Hospital,096660 00108,4.5,60,
89,M M Multispecialty Hospital,·,General hospital,094902 71144,4.0,153,
90,Spandana Hospital,"DharmavaramPuttaparthi Rd, Near Sai baba Nagar",Hospital,,3.6,356,
91,AVR HOSPITAL,Old Club Rd,Hospital,0863 226 3699,4.6,244,
92,Sri Sai Satya Super Speciality Hospital,"Grand Trunk Road besides Guntur convention hall, opposite to Tobacco board",Hospital,085999 15999,4.8,121,
93,BEST Super Speciality Hospital  Vijayawada,Ravi Chettu Center,Hospital,083677 22722,4.9,121,https://www.bestsuperspeciality.com/
94,Safe Hands multi speciality hospital,"Near Bharath petrol bunk, Manipuram Brg, beside RTC busstand",Hospital,098488 18199,4.7,49,https://www.safehospitalguntur.com/
95,SUNRISE HOSPITAL,"24143 krishna reddy complex, Kalyandurgam Rd, opp. Raja Hotel",Hospital,088863 96666,4.8,179,https://svcsunrisehospital.com/
96,Super Specality Hospital 200 Bed,,Hospital,,4.1,8,
97,MADALA MULTISPECIALITY HOSPITAL,"madala multispeciality hospital, beside amma furniture mall",Hospital,073860 37003,5.0,268,
98,Sri Srinivasa Childrens Hospital,·,Children's hospital,0866 243 8090,4.9,"1,071",
99,Balaji Hospital,·,Hospital,085182 21227,3.5,93,http://balajihospital.in/
100,Sree Siri Emergency Hospital,PulivendulaParnapalle Rd,Hospital,,4.9,37,
101,Prameela Hospitals,"103206, VV Mahal Rd",Hospital,0877 222 0948,3.1,147,
102,Amma Pillala Hospital,"7FW3+J5G 3rd Lane, Road, opp. Bus Stand",Children's hospital,0863 226 6000,4.3,144,
103,St Joseph's General Hospital,"FX4M+X6C, Near St. Joseph's girls High School",Hospital,0861 233 1186,4.2,45,https://www.sjhnellore.com/
104,NRI General Hospital,"CH75+X26, NRI Hospital Road",Private hospital,,3.0,621,http://www.nrias.net/
105,BSA Hospital Mahal  Dr.Iqbal Ahmed Khan Rehabilitation centre for paralysis patients,QQHQ+2HP,Hospital,088863 68363,4.7,225,
106,Puvvada Hospital,Palnadu Rd,Hospital,086472 25464,4.3,49,
107,Vins Hospital,"Kovelamudivari Street, opp. swati press",Private hospital,,3.6,227,
108,Sunrise Multi Speciality Hospital Kadapa,"1st Floor, Sai Ram Towers, Dno. 2787, Sri Hari Rao St",Hospital,088866 55565,3.4,200,https://www.google.com/search?q=Sunrise+Multi+Speciality+Hospital+Kadapa&stick=H4sIAAAAAAAA_NgU1I1qDBOSjI2NzI0SDYyT0szTE6xAgolWpilJlqkmhsamppZJhkuYtUILs0ryixOVfAtzSnJVAguSE3OTMzJLKlU8MgvLsgsScxR8E5MSSxIBACRtPABVAAAAA&hl=enGB&mat=CYP2Zs4OQCCEElcB8pgkaIWSrazNLrYk8t0XgY2JFtSMaqBc915DgomvMNUKGFIY6quCPGXcqi92NFGaktJzbM0cN6gzN4zUongNVqt5gs5j_ce35sPcsS6DuSRAGnA1w&authuser=0&ved=2ahUKEwja9f6IpL_9AhXvzgGHQzlCEsQMgIegQICRAe
109,Vijaya Hospital,"H.No: 12, 134, 2nd Cross Rd, near Chinnari Hospital",Hospital,090594 45597,4.6,75,
110,Jeevana Jyothi Hospital,"15/381, opposite to Rotary English Medium School Kamalanagar Anantapur Andhra Pradesh 515001 IN",Private hospital,085542 49987,3.2,33,
111,Sri Venkateswara Ramnarayan Ruia Government General Hospital,"JCV4+V8R, Alipiri Rd",Government hospital,,3.3,321,
112,Sri Krishna Hospital,"Bendapudi Vari St, opp. Vijaya Bar",Hospital,091540 69506,4.6,320,https://sites.google.com/view/srikrishnahospitaleluru
113,Anu Hospitals,"521230l, Post Office Rd",Hospital,097013 40498,4.2,169,
114,HEALTH HOSPITAL,"133164/1, Mahatma Gandhi Inner Ring Rd, opp. DURGA TEMPLE",Hospital,0863 295 9769,4.7,12,
115,Life Hospital,"28/1412, Railway Station Road, Noonepalli, Near Andhra Bank",Hospital,085142 45334,4.2,456,
116,JMJ Health Care Snake Bite Hospital,6JF9+VR8,Hospital,,4.0,33,
117,Srivari Hospital  Best multispeciality hospital in Atmakur,"Atmakur Rd, opp. to LIC Office",Hospital,080737 17540,4.7,17,
118,Priya Multi Speciality Hospital,"3rd cross, Sai Nagar",Hospital,085542 39777,4.2,55,
119,CIPACA  M S Multispeciality Hospital  24 Hrs Emergency & ICU Care Hospital,"1st floor, Punjab National Bank Building, State Bank Road, opp. Head Post office",Hospital,082382 38233,5.0,14,https://www.cipaca.com/msmultispecialityhospital24hrsemergencyhospitalinpithapuram
