index,Name,Address,Category,Phone,Avg_review,Reviews,Website,Maps_url
39,Himagiri Hospitals,·,General hospital,040 6810 1111,4.2,"(4,040)",http://www.himagirihospitals.com/,https://www.google.com/maps/place/Himagiri+Hospitals/data=!4m7!3m6!1s0x3bcb9395a0a0559d:0xaa0213d270f7b95c!8m2!3d17.4423108!4d78.3587114!16s%2Fg%2F1hd_fl8wf!19sChIJnVWgoJWTyzsRXLn3cNITAqo?authuser=0&hl=en&rclk=1
40,PACE Hospitals - HITEC City,·,General hospital,040 4848 6868,4.5,"(8,644)",https://www.pacehospital.com/,https://www.google.com/maps/place/PACE+Hospitals+-+HITEC+City/data=!4m7!3m6!1s0x3bcb916020093aa3:0xe37f244ddf5444a7!8m2!3d17.4469083!4d78.3842361!16s%2Fg%2F11bzymkgqq!19sChIJozoJIGCRyzsRp0RU300kf-M?authuser=0&hl=en&rclk=1
41,The Deccan Hospital,·,Hospital,090000 39595,4.7,"(2,891)",http://www.deccanhospital.com/,https://www.google.com/maps/place/The+Deccan+Hospital/data=!4m7!3m6!1s0x3bcb974b3e04ac7b:0x7024a406dfcf4620!8m2!3d17.4247384!4d78.4554823!16s%2Fg%2F124yhkkt6!19sChIJe6wEPkuXyzsRIEbP3wakJHA?authuser=0&hl=en&rclk=1
42,The Deccan Hospital,·,Hospital,090000 39595,4.7,"(2,891)",http://www.deccanhospital.com/,https://www.google.com/maps/place/The+Deccan+Hospital/data=!4m7!3m6!1s0x3bcb974b3e04ac7b:0x7024a406dfcf4620!8m2!3d17.4247384!4d78.4554823!16s%2Fg%2F124yhkkt6!19sChIJe6wEPkuXyzsRIEbP3wakJHA?authuser=0&hl=en&rclk=1
43,Anaya Hospital,·,Hospital,081828 91928,4.8,(415),https://anayahospitals.in/,https://www.google.com/maps/place/Anaya+Hospital/data=!4m7!3m6!1s0x3bcb99a1b461e8c1:0x8d48272f29bd40ef!8m2!3d17.3992195!4d78.4924644!16s%2Fg%2F11hdpsyh96!19sChIJwehhtKGZyzsR70C9KS8nSI0?authuser=0&hl=en&rclk=1
44,TX Hospitals Uppal,·,Hospital,040 4310 8108,4.8,"(7,856)",https://txhospitals.in/,https://www.google.com/maps/place/TX+Hospitals+Uppal/data=!4m7!3m6!1s0x3bcb9f1c2b3ac0cf:0x212093b317ea8a1d!8m2!3d17.4023452!4d78.5669578!16s%2Fg%2F11hz1654n3!19sChIJz8A6KxyfyzsRHYrqF7OTICE?authuser=0&hl=en&rclk=1
45,TX Hospitals Kachiguda,·,Hospital,040 4810 8108,4.8,"(5,749)",http://txhospitals.in/,https://www.google.com/maps/place/TX+Hospitals+Kachiguda/data=!4m7!3m6!1s0x3bcb999c52a9dd7b:0xa30ffc907c9a3d3c!8m2!3d17.389563!4d78.4954536!16s%2Fg%2F11n7_4y_7d!19sChIJe92pUpyZyzsRPD2afJD8D6M?authuser=0&hl=en&rclk=1
46,Mahavir Hospital & Research Centre,·,Private hospital,040 2349 7399,3.2,(444),https://themahavirhospital.in/,https://www.google.com/maps/place/Mahavir+Hospital+%26+Research+Centre/data=!4m7!3m6!1s0x3bcb9741e7abc01f:0xe42b0d060c7b4588!8m2!3d17.4036002!4d78.4570332!16s%2Fg%2F1jgm1js0y!19sChIJH8Cr50GXyzsRiEV7DAYNK-Q?authuser=0&hl=en&rclk=1
47,"Srikara Hospitals, RTC Cross Roads",·,Hospital,040 6911 6911,4.8,"(3,956)",http://www.srikarahospitals.com/,"https://www.google.com/maps/place/Srikara+Hospitals,+RTC+Cross+Roads/data=!4m7!3m6!1s0x3bcb9a25d352c5f7:0xcc23142b787c227e!8m2!3d17.4088677!4d78.4962702!16s%2Fg%2F11bbt9nrhl!19sChIJ98VS0yWayzsRfiJ8eCsUI8w?authuser=0&hl=en&rclk=1"
48,Sri Sri Holistic®️ Hospitals,·,Hospital,040 4410 8108,4.5,"(6,217)",https://srisriholistichospitals.com/,https://www.google.com/maps/place/Sri+Sri+Holistic%C2%AE%EF%B8%8F+Hospitals/data=!4m7!3m6!1s0x3bcb9a090b3018fd:0x7a60b593fe53fde9!8m2!3d17.502219!4d78.3889566!16s%2Fg%2F11x9gsqf3!19sChIJ_RgwCwmayzsR6f1T_pO1YHo?authuser=0&hl=en&rclk=1
49,"Mina Multispeciality Hospital | Best Hospital – Royal Nagar, Mehdipatnam | Best Maternity, OBG, GYNAC | Emergency Care",·,General hospital,040 2353 1881,4.5,"(1,377)",https://minahospitals.in/,"https://www.google.com/maps/place/Mina+Multispeciality+Hospital+%7C+Best+Hospital+%E2%80%93+Royal+Nagar,+Mehdipatnam+%7C+Best+Maternity,+OBG,+GYNAC+%7C+Emergency+Care/data=!4m7!3m6!1s0x3bcb9710c347c723:0x2031c6aaaccd2336!8m2!3d17.395202!4d78.443172!16s%2Fg%2F1pp2vbclx!19sChIJI8dHwxCXyzsRNiPNrKrGMSA?authuser=0&hl=en&rclk=1"
50,Apollo Spectra Hospitals,·,General hospital,084484 40991,4.5,"(2,069)",https://www.apollospectra.com/hyderabad/kondapur/our-hospitals/best-hospital-in-kondapur-hyderabad?utm_source=google&utm_medium=GoogleMap&utm_campaign=GoogleMapKondapur,https://www.google.com/maps/place/Apollo+Spectra+Hospitals/data=!4m7!3m6!1s0x3bcb93c922e78077:0x7fefd4f3391ae6d0!8m2!3d17.4596889!4d78.3660374!16s%2Fg%2F11clyszrws!19sChIJd4DnIsmTyzsR0OYaOfPU738?authuser=0&hl=en&rclk=1
51,"Sri Sri Holistic Hospitals - State-of-the-art Multispecialty Hospital in Kondapur, Hyderabad",·,Hospital,,4.5,(501),https://srisriholistichospitals.com/,"https://www.google.com/maps/place/Sri+Sri+Holistic+Hospitals+-+State-of-the-art+Multispecialty+Hospital+in+Kondapur,+Hyderabad/data=!4m7!3m6!1s0x3bcb93f3053bb1d5:0xbbc8f184375233b5!8m2!3d17.464958!4d78.3431954!16s%2Fg%2F11txgxl_3m!19sChIJ1bE7BfOTyzsRtTNSN4TxyLs?authuser=0&hl=en&rclk=1"
52,Nampally Government Hospital,·,Hospital,,3.7,(140),http://www.ahnampally.com/,https://www.google.com/maps/place/Nampally+Government+Hospital/data=!4m7!3m6!1s0x3bcb976e70000001:0xf396212512e5289c!8m2!3d17.3922731!4d78.4632945!16s%2Fg%2F1tyt3tmr!19sChIJAQAAcG6XyzsRnCjlEiUhlvM?authuser=0&hl=en&rclk=1
53,Wellness Hospitals,·,Hospital,091000 20100,4.7,(804),https://wellnesshospitals.in/,https://www.google.com/maps/place/Wellness+Hospitals/data=!4m7!3m6!1s0x3bcb90c7c38b8e17:0xede8e5b6de310471!8m2!3d17.4360762!4d78.4502234!16s%2Fg%2F11s2ysf37p!19sChIJF46Lw8eQyzsRcQQx3rbl6O0?authuser=0&hl=en&rclk=1
54,OMNI Hospitals,·,Private hospital,080963 69999,4.3,"(3,360)",https://omnihospitals.in/,https://www.google.com/maps/place/OMNI+Hospitals/data=!4m7!3m6!1s0x3bcb98e93eec1a2f:0x9dc9016e4c959f7d!8m2!3d17.3686691!4d78.538822!16s%2Fg%2F1ptwzxd8y!19sChIJLxrsPumYyzsRfZ-VTG4ByZ0?authuser=0&hl=en&rclk=1
55,Rex Super Speciality Hospital,·,Hospital,099080 35023,4.6,(459),https://rexsuperspecialityhospital.in/,https://www.google.com/maps/place/Rex+Super+Speciality+Hospital/data=!4m7!3m6!1s0x3bcb95746e8ef119:0x694b4c86f958fba7!8m2!3d17.3942795!4d78.3753745!16s%2Fg%2F11s0w1jw_7!19sChIJGfGObnSVyzsRp_tY-YZMS2k?authuser=0&hl=en&rclk=1
56,Tx Hospitals Banjara Hills,·,Hospital,040 6652 9999,4.9,"(6,948)",http://www.txhospitals.in/,https://www.google.com/maps/place/Tx+Hospitals+Banjara+Hills/data=!4m7!3m6!1s0x3bcb97fe77c0cf9d:0xfee82fa44d76adad!8m2!3d17.4077701!4d78.4446554!16s%2Fg%2F11td4lzcfq!19sChIJnc_Ad_6XyzsRra12TaQv6P4?authuser=0&hl=en&rclk=1
57,Yashoda Hospitals Hitec City,·,Hospital,040 4567 4567,4.8,"(11,945)",https://www.yashodahospitals.com/,https://www.google.com/maps/place/Yashoda+Hospitals+Hitec+City/data=!4m7!3m6!1s0x3bcb917df77e5ba9:0xa47221c5deef3da2!8m2!3d17.4623137!4d78.3849124!16s%2Fg%2F11h9x8zchq!19sChIJqVt-932RyzsRoj3v3sUhcqQ?authuser=0&hl=en&rclk=1
58,"Gleneagles AWARE Hospital, LB Nagar, Hyderabad",·,General hospital,063665 62039,4.7,"(4,895)",https://www.gleneagleshospitals.co.in/gleneagles-aware-hospital-lb-nagar-hyderabad,"https://www.google.com/maps/place/Gleneagles+AWARE+Hospital,+LB+Nagar,+Hyderabad/data=!4m7!3m6!1s0x3bcb9898fd5a1ca3:0xe729e2cca4d0296d!8m2!3d17.3459452!4d78.5399442!16s%2Fm%2F0h_cyl0!19sChIJoxxa_ZiYyzsRbSnQpMziKec?authuser=0&hl=en&rclk=1"
59,Gandhi Hospital,·,General hospital,040 2750 5566,3.6,"(1,444)",https://www.gandhihospital.telangana.gov.in/,https://www.google.com/maps/place/Gandhi+Hospital/data=!4m7!3m6!1s0x3bcb998cf8889263:0x2142257bc81507ff!8m2!3d17.4233214!4d78.5040659!16s%2Fg%2F1trrbn9z!19sChIJY5KI-IyZyzsR_wcVyHslQiE?authuser=0&hl=en&rclk=1
60,NHS Hospitals,·,Hospital,098495 55371,4.9,(557),https://www.nhshospitals.in/,https://www.google.com/maps/place/NHS+Hospitals/data=!4m7!3m6!1s0x3bcb9b983308f149:0x1ea5fa2fe6d88257!8m2!3d17.4505328!4d78.503195!16s%2Fg%2F11tcpbwmfh!19sChIJSfEIM5ibyzsRV4LY5i_6pR4?authuser=0&hl=en&rclk=1
61,Amor Hospitals | Best Hospital in Kukatpally Hyderabad,·,Hospital,040 6606 9999,4.7,"(4,736)",https://www.amorhospitals.com/contact/,https://www.google.com/maps/place/Amor+Hospitals+%7C+Best+Hospital+in+Kukatpally+Hyderabad/data=!4m7!3m6!1s0x3bcb911822d65471:0x2a1a0c3347951158!8m2!3d17.4772417!4d78.4206807!16s%2Fg%2F11qgsqrtjc!19sChIJcVTWIhiRyzsRWBGVRzMMGio?authuser=0&hl=en&rclk=1
62,"OMNI Hospitals, Kukatpally",·,Private hospital,088801 01000,4.5,"(4,719)",https://omnihospitals.in/,"https://www.google.com/maps/place/OMNI+Hospitals,+Kukatpally/data=!4m7!3m6!1s0x3bcb91bc5cdb9fbd:0xb96e1ba3797d9253!8m2!3d17.4852697!4d78.4109404!16s%2Fg%2F11bwn2p41m!19sChIJvZ_bXLyRyzsRU5J9eaMbbrk?authuser=0&hl=en&rclk=1"
