"Google maps link","Name","Avg_review","Reviews","Category","Address","Phone"
"https://www.google.com/maps/place/Gajanand+Textiles/data=!4m7!3m6!1s0x3bcb978e84de7533:0x9dd35b31bdf84163!8m2!3d17.3633206!4d78.4674589!16s%2Fg%2F1hf87p2g2!19sChIJM3XehI6XyzsRY0H4vTFb050?authuser=0&hl=en&rclk=1","Gajanand Textiles","4.1","(1,321)","Clothing store","·",""
"https://www.google.com/maps/place/Sri+Rama+Textiles/data=!4m7!3m6!1s0x3bcb964dcf3a0c79:0xa0f835492d9e2a90!8m2!3d17.3639051!4d78.4250528!16s%2Fg%2F1ygvswgv9!19sChIJeQw6z02WyzsRkCqeLUk1-KA?authuser=0&hl=en&rclk=1","Sri Rama Textiles","4.4","(142)","Clothing store","·","040 2400 1114"
"https://www.google.com/maps/place/SUNITTA+TEXTILES+MILLS+.+Pvt/data=!4m7!3m6!1s0x3bcb978821c826ff:0x995ae972c5c0c8e9!8m2!3d17.3675692!4d78.47498!16s%2Fg%2F1td3dh2n!19sChIJ_ybIIYiXyzsR6cjAxXLpWpk?authuser=0&hl=en&rclk=1","SUNITTA TEXTILES MILLS . Pvt","3.9","(579)","Clothing store","High Court Road, Pathergatti Rd","040 2457 8346"
"https://www.google.com/maps/place/J.K+Textiles/data=!4m7!3m6!1s0x3bcb97881d58881d:0xd0a7cab963745d40!8m2!3d17.368343!4d78.475192!16s%2Fg%2F1tjxd36c!19sChIJHYhYHYiXyzsRQF10Y7nKp9A?authuser=0&hl=en&rclk=1","J.K Textiles","5.0","(63)","Clothing store","Shop No:74, High Court Rd","094405 63019"
"https://www.google.com/maps/place/GEELAN+FABRICS+-+WHOLESALE+LADIES+DRESS+MATERIAL+II+PAKISTANI+LAWN+SUITS+II+DEEPTEX+COTTON/data=!4m7!3m6!1s0x3bcb9788636d02ef:0xa4c7228bf78777fc!8m2!3d17.3681158!4d78.4745265!16s%2Fg%2F11q3c_zpd0!19sChIJ7wJtY4iXyzsR_HeH94six6Q?authuser=0&hl=en&rclk=1","GEELAN FABRICS - WHOLESALE LADIES DRESS MATERIAL II PAKISTANI LAWN SUITS II DEEPTEX COTTON","4.5","(394)","Clothing wholesaler","·","095508 63865"
"https://www.google.com/maps/place/Chimanlal+Suresh+Kumar+Textiles+Private+Limited/data=!4m7!3m6!1s0x3bcb98277e3f21d1:0x61ea6d9293fccc07!8m2!3d17.3663718!4d78.4744959!16s%2Fg%2F1tghbljv!19sChIJ0SE_fieYyzsRB8z8k5Jt6mE?authuser=0&hl=en&rclk=1","Chimanlal Suresh Kumar Textiles Private Limited","3.9","(4,892)","Clothing store","R J Market, 21-1-821/1, Agarwal College Rd","040 2456 7139"
"https://www.google.com/maps/place/Sana+Fabrics+-Best+wholesale+saree+shop+in+telangana/data=!4m7!3m6!1s0x3bcb9820ffffffdf:0x2c6711febfca9b6f!8m2!3d17.3676393!4d78.4743075!16s%2Fg%2F1ptv_z_vb!19sChIJ3____yCYyzsRb5vKv_4RZyw?authuser=0&hl=en&rclk=1","Sana Fabrics -Best wholesale saree shop in telangana","4.4","(149)","Saree Shop","·","093918 55441"
"https://www.google.com/maps/place/Krishna+Textiles/data=!4m7!3m6!1s0x3bcb978c21c8fc25:0xfe6913d520a94a50!8m2!3d17.362764!4d78.4679216!16s%2Fg%2F11c5s4ywyr!19sChIJJfzIIYyXyzsRUEqpINUTaf4?authuser=0&hl=en&rclk=1","Krishna Textiles","4.0","(76)","Clothing store","·","079892 67550"
"https://www.google.com/maps/place/Mariyam+Textiles+sarees+shop/data=!4m7!3m6!1s0x3bcb9820ffffffdf:0xee5d9745b4388381!8m2!3d17.3684085!4d78.4745184!16s%2Fg%2F1yhbjt1vv!19sChIJ3____yCYyzsRgYM4tEWXXe4?authuser=0&hl=en&rclk=1","Mariyam Textiles sarees shop","4.3","(124)","Saree Shop","21-1-1003, High Court Rd","093910 49207"
"https://www.google.com/maps/place/Y.S+Textiles+Wholesale+3rd+Floor/data=!4m7!3m6!1s0x3bcb9827f7e79aed:0x4b012d70dff82ad6!8m2!3d17.3680233!4d78.4742991!16s%2Fg%2F1yh4g7dgy!19sChIJ7Zrn9yeYyzsR1ir433AtAUs?authuser=0&hl=en&rclk=1","Y.S Textiles Wholesale 3rd Floor","4.3","(114)","Dress store","·","098493 66271"
"https://www.google.com/maps/place/PARTH+TEXTILES/data=!4m7!3m6!1s0x3bcb99dbef5c587d:0x614e3788a76125ec!8m2!3d17.3974884!4d78.482515!16s%2Fg%2F11g70hcwx3!19sChIJfVhc79uZyzsR7CVhp4g3TmE?authuser=0&hl=en&rclk=1","PARTH TEXTILES","4.9","(28)","Clothing store","LANE, Old MLA Quarters Rd, opposite to DMART, opposite Lane","093962 35879"
"https://www.google.com/maps/place/Aslam+Textiles+%7C+Wholesale+Dealer+of+Deeptex+Cotton+Suits,+Pranjul+Readymade,+Lawn+Suits,+Pranjul+Dress+Material+in+Hyderabad/data=!4m7!3m6!1s0x3bcb973cd3e738b1:0xae7d5b22478c4b70!8m2!3d17.395617!4d78.4278086!16s%2Fg%2F11h1rzsz9v!19sChIJsTjn0zyXyzsRcEuMRyJbfa4?authuser=0&hl=en&rclk=1","Aslam Textiles | Wholesale Dealer of Deeptex Cotton Suits, Pranjul Readymade, Lawn Suits, Pranjul Dress Material in Hyderabad","4.6","(145)","Clothing store","2nd Floor, Al, Wahab Complex, Nanal Nagar X Rd, beside Morine Bakery","099856 20202"
"https://www.google.com/maps/place/Irfan+Textiles/data=!4m7!3m6!1s0x3bcb9827dc2e9013:0xed0e94492639a0d7!8m2!3d17.3687903!4d78.4769515!16s%2Fg%2F1tj8__gp!19sChIJE5Au3CeYyzsR16A5JkmUDu0?authuser=0&hl=en&rclk=1","Irfan Textiles","4.0","(889)","Bridal shop","22-7-266/A/1, Devan Devdi Rd","040 6671 8688"
"https://www.google.com/maps/place/Irfan+Textiles/data=!4m7!3m6!1s0x3bcb9819e5555553:0xbbf575eda09d36d6!8m2!3d17.3573144!4d78.4813645!16s%2Fg%2F11bw219yjr!19sChIJU1VV5RmYyzsR1jadoO119bs?authuser=0&hl=en&rclk=1","Irfan Textiles","4.4","(90)","Clothing store","# 18-7-434/1, Mir Jumla, beside Nagina Masjid","088014 42958"
"https://www.google.com/maps/place/L.N.Textiles+-+Best+Designer+Saree+in+Hyderabad/data=!4m7!3m6!1s0x3bcb9a795b42f201:0x83cbc689609f90a5!8m2!3d17.467209!4d78.4820237!16s%2Fg%2F11b7q5dt_k!19sChIJAfJCW3mayzsRpZCfYInGy4M?authuser=0&hl=en&rclk=1","L.N.Textiles - Best Designer Saree in Hyderabad","4.6","(302)","Designer Clothing Store","·","098491 40697"
"https://www.google.com/maps/place/Sri+Ram+Enterprises/data=!4m7!3m6!1s0x3bcb978e609d70f9:0x62463df27804b28d!8m2!3d17.3644009!4d78.4664913!16s%2Fg%2F1yh4g6zch!19sChIJ-XCdYI6XyzsRjbIEePI9RmI?authuser=0&hl=en&rclk=1","Sri Ram Enterprises","4.2","(1,814)","Men's clothing store","·","090000 91303"
"https://www.google.com/maps/place/KALANS+FABRIC+HOUSE/data=!4m7!3m6!1s0x3bcb916c8a51a3ad:0x71ef56206aceff5e!8m2!3d17.425731!4d78.4372929!16s%2Fg%2F11q3l56w0c!19sChIJraNRimyRyzsRXv_OaiBW73E?authuser=0&hl=en&rclk=1","KALANS FABRIC HOUSE","4.9","(48)","Designer Clothing Store","·",""
"https://www.google.com/maps/place/Imran+Textiles/data=!4m7!3m6!1s0x3bcba2a6ea1be0e1:0x2b7ada966db64172!8m2!3d17.3311163!4d78.4906797!16s%2Fg%2F11gh2q5rng!19sChIJ4eAb6qaiyzsRckG2bZbaeis?authuser=0&hl=en&rclk=1","Imran Textiles","4.0","(182)","Clothing store","18 12 418 d 78 4, 18-12-418/D/78/4","095509 57739"
"https://www.google.com/maps/place/TEXTILE+FACTORY/data=!4m7!3m6!1s0x3bcb97f9c27b8261:0xa7340370eeebf93!8m2!3d17.3944749!4d78.4616695!16s%2Fg%2F11nl54wb11!19sChIJYYJ7wvmXyzsRk7_uDjdAcwo?authuser=0&hl=en&rclk=1","TEXTILE FACTORY","4.3","(80)","Clothing store","11-2-1033, Battery Line Rd, opp. bharat petrol pump","096181 25875"
"https://www.google.com/maps/place/Urooj+textiles/data=!4m7!3m6!1s0x3bcb991d2f90c699:0xa5ef38993d9c3b71!8m2!3d17.3506668!4d78.5024592!16s%2Fg%2F11px3xskz_!19sChIJmcaQLx2ZyzsRcTucPZk476U?authuser=0&hl=en&rclk=1","Urooj textiles","4.9","(51)","Women's clothing store","1/A, 17_1_182/38, CRIDA Rd, beside turning point school","099859 41092"
"https://www.google.com/maps/place/Deepa+Textiles/data=!4m7!3m6!1s0x3bcb97872015a13d:0x5a7335a4cd2bc4a0!8m2!3d17.3757333!4d78.47286!16s%2Fg%2F1v41yxpn!19sChIJPaEVIIeXyzsRoMQrzaQ1c1o?authuser=0&hl=en&rclk=1","Deepa Textiles","4.8","(266)","Clothing store","·","090309 03095"
"https://www.google.com/maps/place/Saroj+Fabrics+%28Hyderabad%29/data=!4m7!3m6!1s0x3bcb9779ed03485f:0x9ca647f122b5e072!8m2!3d17.4132455!4d78.4489612!16s%2Fg%2F11vs2zkhl8!19sChIJX0gD7XmXyzsRcuC1IvFHppw?authuser=0&hl=en&rclk=1","Saroj Fabrics (Hyderabad)","4.9","(344)","Clothing store","Shyam Kripa, Rd Number 11","070218 11578"
"https://www.google.com/maps/place/Pranjal+textile+house/data=!4m7!3m6!1s0x3bcb8ff7e4a1c201:0x3a8d4f6ee4a6b971!8m2!3d17.4892207!4d78.4504074!16s%2Fg%2F11t9w0w034!19sChIJAcKh5PePyzsRcbmm5G5PjTo?authuser=0&hl=en&rclk=1","Pranjal textile house","5.0","(56)","Saree Shop","MPR Complex, Jeedimetla Main Road",""
"https://www.google.com/maps/place/Ismail+textile+whole+sale+and+retail/data=!4m7!3m6!1s0x3bcb9970d2698163:0x2592cc6981d75eed!8m2!3d17.3671386!4d78.4782716!16s%2Fg%2F11v0ygj42l!19sChIJY4Fp0nCZyzsR7V7XgWnMkiU?authuser=0&hl=en&rclk=1","Ismail textile whole sale and retail","4.5","(13)","Clothing store","Diwan doudi, near indian post office",""
"https://www.google.com/maps/place/Siddeshwari+Textiles/data=!4m7!3m6!1s0x3bcb97845c626eab:0xcfdfd3bf53e5a61!8m2!3d17.3727219!4d78.4668711!16s%2Fg%2F11cls68td5!19sChIJq25iXISXyzsRYVo-9Tv9_Qw?authuser=0&hl=en&rclk=1","Siddeshwari Textiles","4.4","(43)","Clothing store","·","099082 18168"
"https://www.google.com/maps/place/Ramesh+Textile/data=!4m7!3m6!1s0x3bcb978bd4c38593:0x5e6979f253118292!8m2!3d17.3628815!4d78.4723009!16s%2Fg%2F11cn9_3gyg!19sChIJk4XD1IuXyzsRkoIRU_J5aV4?authuser=0&hl=en&rclk=1","Ramesh Textile","4.2","(72)","Clothing store","·",""
"https://www.google.com/maps/place/Vishnupriya+Textiles/data=!4m7!3m6!1s0x3bcba244aa501c19:0xbe55e72f9a4bb34a!8m2!3d17.3082398!4d78.5322315!16s%2Fg%2F1hc8wpzr0!19sChIJGRxQqkSiyzsRSrNLmi_nVb4?authuser=0&hl=en&rclk=1","Vishnupriya Textiles","4.2","(31)","Clothing store","H No, 3-38, Badangpet - Almasguda Rd","099082 20074"
"https://www.google.com/maps/place/Bhagwati+Textiles/data=!4m7!3m6!1s0x3bcb9784165a58f7:0x5e1398a0c88c7964!8m2!3d17.3735359!4d78.4674712!16s%2Fg%2F1tjf8qhs!19sChIJ91haFoSXyzsRZHmMyKCYE14?authuser=0&hl=en&rclk=1","Bhagwati Textiles","4.1","(537)","Men's clothing store","·","098495 02728"
"https://www.google.com/maps/place/Sri+dhanlaxmi+Textile/data=!4m7!3m6!1s0x3bcb975a5d92e1bd:0xa72d5ec6b61a4c1b!8m2!3d17.3673776!4d78.4726747!16s%2Fg%2F11nxr07rh1!19sChIJveGSXVqXyzsRG0watsZeLac?authuser=0&hl=en&rclk=1","Sri dhanlaxmi Textile","5.0","(36)","Saree Shop","21-1-644, 21-1-455/A",""
"https://www.google.com/maps/place/Junaid+Textiles/data=!4m7!3m6!1s0x3bcb9917a8026725:0x75ca1a7f4bed64be!8m2!3d17.3648665!4d78.4763117!16s%2Fg%2F11pc9xvq6z!19sChIJJWcCqBeZyzsRvmTtS38aynU?authuser=0&hl=en&rclk=1","Junaid Textiles","4.5","(397)","Clothing store","Shop No. 22-6-33/1/1,3, 9F7G+V88 Shahran Market, Shahran Market Rd","089786 78653"
"https://www.google.com/maps/place/Paramount+Textiles/data=!4m7!3m6!1s0x3bcb9a1bb7526ba7:0xc719a2934479bf56!8m2!3d17.436193!4d78.4905148!16s%2Fg%2F1yh80614c!19sChIJp2tStxuayzsRVr95RJOiGcc?authuser=0&hl=en&rclk=1","Paramount Textiles","4.4","(76)","Clothing store","Subhash Rd","097000 38717"
"https://www.google.com/maps/place/New+Sunil+Textiles/data=!4m7!3m6!1s0x3bcb97883e670fbf:0x3cd40e6435ad1e30!8m2!3d17.3674182!4d78.4740351!16s%2Fg%2F11t5n3l1cp!19sChIJvw9nPoiXyzsRMB6tNWQO1Dw?authuser=0&hl=en&rclk=1","New Sunil Textiles","4.3","(68)","Clothing store","21-1-595/1, 2, Amrit Market, beside Hariprasd Hospital","080088 30032"
"https://www.google.com/maps/place/Omair+Textiles/data=!4m7!3m6!1s0x3bcb9788636d02ef:0xec05a4360b3e8250!8m2!3d17.3680453!4d78.4749451!16s%2Fg%2F11f54zhn_d!19sChIJ7wJtY4iXyzsRUII-CzakBew?authuser=0&hl=en&rclk=1","Omair Textiles","5.0","(19)","Clothing store","21-1-1001/10, Masjid Ln","080195 00836"
"https://www.google.com/maps/place/SRINIVASA+TEXTILES+Ramnagar/data=!4m7!3m6!1s0x3bcb990202616f6d:0x3ec6debf6fbfecc7!8m2!3d17.4081428!4d78.5088527!16s%2Fg%2F11sbv01m9p!19sChIJbW9hAgKZyzsRx-y_b7_exj4?authuser=0&hl=en&rclk=1","SRINIVASA TEXTILES Ramnagar","4.6","(11)","Saree Shop","UNIT-2 Building, 1-9-19/154, behind mee sewa SRINIVASA TEXTILES","090305 55514"
"https://www.google.com/maps/place/R.S.Textiles/data=!4m7!3m6!1s0x3bcb9a103338f22d:0x5c4ba74263095041!8m2!3d17.436209!4d78.4884106!16s%2Fg%2F1vpfg_t7!19sChIJLfI4MxCayzsRQVAJY0KnS1w?authuser=0&hl=en&rclk=1","R.S.Textiles","4.7","(39)","Uniform store","·","099892 99003"
"https://www.google.com/maps/place/Diwan+Textiles/data=!4m7!3m6!1s0x3bcb99bb8e354375:0x99bf59eb2f4f9d90!8m2!3d17.400355!4d78.5078054!16s%2Fg%2F1tcy2rmg!19sChIJdUM1jruZyzsRkJ1PL-tZv5k?authuser=0&hl=en&rclk=1","Diwan Textiles","4.2","(59)","Clothing store","·","098498 41725"
"https://www.google.com/maps/place/Ramdev+Textiles/data=!4m7!3m6!1s0x3bcb99cd87dc821b:0x26917b6b873e9679!8m2!3d17.3809889!4d78.4744715!16s%2Fg%2F1tgplh53!19sChIJG4Lch82ZyzsReZY-h2t7kSY?authuser=0&hl=en&rclk=1","Ramdev Textiles","4.7","(59)","Clothing wholesaler","5-3-1040/7","098494 74328"
"https://www.google.com/maps/place/Sai+Ram+Selections/data=!4m7!3m6!1s0x3bcb978e5e2f2e0d:0x379ddb6a80d89253!8m2!3d17.3648645!4d78.4661736!16s%2Fg%2F1yh4g6zdf!19sChIJDS4vXo6XyzsRU5LYgGrbnTc?authuser=0&hl=en&rclk=1","Sai Ram Selections","4.3","(4,839)","Clothing store","21-3-276, Hussaini Alam Rd, near Hanuman Temple","093812 59520"
"https://www.google.com/maps/place/Padmawati+textile+%26+Pagdi+House/data=!4m7!3m6!1s0x3bcb9781281bdcb5:0x30c5757981540a77!8m2!3d17.3744712!4d78.4686973!16s%2Fg%2F1tc_jlj8!19sChIJtdwbKIGXyzsRdwpUgXl1xTA?authuser=0&hl=en&rclk=1","Padmawati textile & Pagdi House","4.9","(121)","Clothing store","·","080743 69549"
"https://www.google.com/maps/place/Y+Yellappa+Textiles/data=!4m7!3m6!1s0x3bcb99cd87dc821b:0xe11b988034778a6f!8m2!3d17.4360729!4d78.4939488!16s%2Fg%2F1tq8g_yl!19sChIJG4Lch82ZyzsRb4p3NICYG-E?authuser=0&hl=en&rclk=1","Y Yellappa Textiles","4.6","(18)","Clothing store","7-1-930, Rashtrapati Rd","091770 75351"
"https://www.google.com/maps/place/Dinesh+Textiles+Bolarum/data=!4m7!3m6!1s0x3bcb9ad1c3c34ef7:0xf188a3d193b0f959!8m2!3d17.5266464!4d78.5187464!16s%2Fg%2F1tfmlvk9!19sChIJ907Dw9GayzsRWfmwk9GjiPE?authuser=0&hl=en&rclk=1","Dinesh Textiles Bolarum","4.0","(822)","Clothing store","·","088850 10000"
"https://www.google.com/maps/place/Mahesh+Designer+Textiles+%26+Studio/data=!4m7!3m6!1s0x3bcb97d5c09014bf:0xa86e9a781718b478!8m2!3d17.3634903!4d78.4734902!16s%2Fg%2F11ghp_yf1k!19sChIJvxSQwNWXyzsReLQYF3iabqg?authuser=0&hl=en&rclk=1","Mahesh Designer Textiles & Studio","4.1","(308)","Designer Clothing Store","#21-7-265, Opp.Srinathji Haveli, Beside Pushpa Hospital","099893 61030"
"https://www.google.com/maps/place/Mujtaba+Textiles/data=!4m7!3m6!1s0x3bcb973bd8252ee7:0xf15122f3ff6f0bfb!8m2!3d17.3599583!4d78.471883!16s%2Fg%2F11ffvh8xlp!19sChIJ5y4l2DuXyzsR-wtv__MiUfE?authuser=0&hl=en&rclk=1","Mujtaba Textiles","4.2","(50)","Clothing store","New Ladbazar Rd","092461 02912"
"https://www.google.com/maps/place/M+A+Textiles/data=!4m7!3m6!1s0x3bcb96e81ff2e0f5:0x9cfea8121fb995c!8m2!3d17.4017837!4d78.4173939!16s%2Fg%2F11g8bvgbw0!19sChIJ9eDyH-iWyzsRXJn7IYHqzwk?authuser=0&hl=en&rclk=1","M A Textiles","4.8","(14)","Clothing store","·","086869 29168"
"https://www.google.com/maps/place/Arbaz+Textiles/data=!4m7!3m6!1s0x3bcb9789d0a05adb:0x70ab7f60a33e3c3b!8m2!3d17.3645518!4d78.4743326!16s%2Fg%2F1ygltggs3!19sChIJ21qg0ImXyzsROzw-o2B_q3A?authuser=0&hl=en&rclk=1","Arbaz Textiles","3.8","(980)","Clothing wholesaler","Urdu Gali","079958 62122"
"https://www.google.com/maps/place/Yousuf+Textiles+%7C+Wholesale+Dealer+of+Ladies+Dress+Material+%26+Readymade,+Deeptex+Cotton,+Pranjul+%26+Lawn+Suits+in+Hyderabad/data=!4m7!3m6!1s0x3bcb995ef99c026d:0xe8362ea580152e60!8m2!3d17.3771244!4d78.4919041!16s%2Fg%2F11tn7h4n1b!19sChIJbQKc-V6ZyzsRYC4VgKUuNug?authuser=0&hl=en&rclk=1","Yousuf Textiles | Wholesale Dealer of Ladies Dress Material & Readymade, Deeptex Cotton, Pranjul & Lawn Suits in Hyderabad","3.3","(21)","Clothing store","Chaderghat Cir","098850 10707"
"https://www.google.com/maps/place/H+B+N+Textile/data=!4m7!3m6!1s0x3bcb97881c88d44b:0x23635e6c292320cf!8m2!3d17.3684633!4d78.4750525!16s%2Fg%2F11c4bk0j9b!19sChIJS9SIHIiXyzsRzyAjKWxeYyM?authuser=0&hl=en&rclk=1","H B N Textile","4.7","(9)","Saree Shop","New Madina Complex, Madina Building","089195 57064"
"https://www.google.com/maps/place/Chimanlal+Suresh+Kumar+Textiles+Mehdipatnam/data=!4m7!3m6!1s0x3bcb971bf155185f:0xace84669e81098d2!8m2!3d17.3947886!4d78.4357379!16s%2Fg%2F11gdgpl7nv!19sChIJXxhV8RuXyzsR0pgQ6GlG6Kw?authuser=0&hl=en&rclk=1","Chimanlal Suresh Kumar Textiles Mehdipatnam","3.9","(1,448)","Clothing store","40, Mehdipatnam Rd",""
"https://www.google.com/maps/place/Vijay+Textiles/data=!4m7!3m6!1s0x3bcb9788191a11bd:0x55b35127b35c10c4!8m2!3d17.3678687!4d78.4747245!16s%2Fg%2F1w9x_khk!19sChIJvREaGYiXyzsRxBBcsydRs1U?authuser=0&hl=en&rclk=1","Vijay Textiles","4.6","(17)","Clothing store","21-1-662/10,12,13, Ground Floor, Sattar Market, High Court Rd","094415 83337"
"https://www.google.com/maps/place/A.K+TEXTILE+Wholesale+Fancy+Sarees/data=!4m7!3m6!1s0x3bcb9737183c8b2d:0x91f7ac8ac50984ca!8m2!3d17.366763!4d78.473912!16s%2Fg%2F11y3d5rl1w!19sChIJLYs8GDeXyzsRyoQJxYqs95E?authuser=0&hl=en&rclk=1","A.K TEXTILE Wholesale Fancy Sarees","5.0","(10)","Saree Shop","21-1-699, near Agarwal School","080748 89801"
"https://www.google.com/maps/place/Singhania+Fabrics/data=!4m7!3m6!1s0x3bcb9727c569112f:0xccee58fb5189f633!8m2!3d17.3658408!4d78.4750955!16s%2Fg%2F11f5h6pswn!19sChIJLxFpxSeXyzsRM_aJUftY7sw?authuser=0&hl=en&rclk=1","Singhania Fabrics","4.6","(38)","Women's clothing store","Shop no: 7& 10 Ground Floor Jt towers, Urdu Gali",""
"https://www.google.com/maps/place/Disha+Textile/data=!4m7!3m6!1s0x3bcb9789d09b7f83:0xb968328960b17b07!8m2!3d17.365484!4d78.474717!16s%2Fg%2F11bv1lrfh5!19sChIJg3-b0ImXyzsRB3uxYIkyaLk?authuser=0&hl=en&rclk=1","Disha Textile","4.5","(13)","Clothing store","Shop No.21, Sanghi Chamber, 2-623/34, Urdu Gali","092905 41031"
"https://www.google.com/maps/place/A.+Raheem+Textiles+Wholesale+Fancy+Sarees/data=!4m7!3m6!1s0x3bcb97a1d19f66af:0xbed689f74a11a125!8m2!3d17.3680763!4d78.4739085!16s%2Fg%2F11f5v9xpjx!19sChIJr2af0aGXyzsRJaERSveJ1r4?authuser=0&hl=en&rclk=1","A. Raheem Textiles Wholesale Fancy Sarees","4.0","(32)","Women's clothing store","Bus Stop, beside lane Of 94, opp. to high Court",""
"https://www.google.com/maps/place/Goyal+Textiles/data=!4m7!3m6!1s0x3bcb98ee3fa12893:0x850e3cf6c65898df!8m2!3d17.3682075!4d78.5310312!16s%2Fg%2F1tfdbxz4!19sChIJkyihP-6YyzsR35hYxvY8DoU?authuser=0&hl=en&rclk=1","Goyal Textiles","3.9","(158)","Clothing store","·","098667 61634"
"https://www.google.com/maps/place/Sri+GK+Textiles/data=!4m7!3m6!1s0x3bcb9789db69dc03:0x770a4fed802f3399!8m2!3d17.3651139!4d78.474632!16s%2Fg%2F1tcvmqzq!19sChIJA9xp24mXyzsRmTMvgO1PCnc?authuser=0&hl=en&rclk=1","Sri GK Textiles","5.0","(3)","Saree Shop","9F8F+2VR, Urdu Gali","091543 72144"
"https://www.google.com/maps/place/JK+FABRICS+DESIGNER+BOUTIQUE/data=!4m7!3m6!1s0x3bcb95935e1a9beb:0x63475cb0e2bd170!8m2!3d17.3839011!4d78.3628621!16s%2Fg%2F11h9g8ptl8!19sChIJ65saXpOVyzsRcNErDst1NAY?authuser=0&hl=en&rclk=1","JK FABRICS DESIGNER BOUTIQUE","5.0","(33)","Boutique","Gandipet Road, Narsingi Beside KVMR Pride Gardens, Shankarpally Road, opp. Accurate",""
"https://www.google.com/maps/place/Sri+Vijaya+Laxmi+Textiles/data=!4m7!3m6!1s0x3bcb9c89cd8e12a9:0x79e05367721892e!8m2!3d17.4808962!4d78.580591!16s%2Fg%2F1yh5tcctv!19sChIJqRKOzYmcyzsRLokhdzYFngc?authuser=0&hl=en&rclk=1","Sri Vijaya Laxmi Textiles","4.4","(48)","Clothing store","FHJJ+57G Kushaiguda Road, ECIL - Keesara Rd","085019 96789"
