"Google maps link","Name","Avg_review","Reviews","Category","Address","Phone","Website"
"https://www.google.com/maps/place/Hyderabad+International+School+-+Santoshnagar+Crida+road/data=!4m7!3m6!1s0x3bcb9971a3a44cdf:0x4edec26a88eeb23f!8m2!3d17.3501653!4d78.5025715!16s%2Fg%2F11kk01nbf7!19sChIJ30yko3GZyzsRP7LuiGrC3k4?authuser=0&hl=en&rclk=1","Hyderabad International School - Santoshnagar Crida road","4.2","(64)","General education school","17-1-B/144/1, CRIDA Rd, opp. Alsafa Dairy, near Redan hotel","088013 16359","https://www.hyderabadinternationalschool.com/"
"https://www.google.com/maps/place/Indus+Valley+International+School+%7C+Best+CBSE+International+School+in+Hyderabad/data=!4m7!3m6!1s0x3bcba15cdead3deb:0x32081b984fb4d89f!8m2!3d17.2673028!4d78.5760665!16s%2Fg%2F11dxrw_fs0!19sChIJ6z2t3lyhyzsRn9i0T5gbCDI?authuser=0&hl=en&rclk=1","Indus Valley International School | Best CBSE International School in Hyderabad","4.7","(128)","International school","·","099121 79900","https://indusvalleyinternationalschool.com/"
"https://www.google.com/maps/place/Suchitra+Academy+International+School/data=!4m7!3m6!1s0x3bcb9aa0a165bad1:0xbce1e43d4c6dddfd!8m2!3d17.5001908!4d78.4768671!16s%2Fg%2F1tfb0g2h!19sChIJ0bploaCayzsR_d1tTD3k4bw?authuser=0&hl=en&rclk=1","Suchitra Academy International School","4.4","(444)","CBSE School","·","091773 99900","http://www.suchitra.in/"
"https://www.google.com/maps/place/Basil+Woods+School,+Shamshabad/data=!4m7!3m6!1s0x3bcbbddc410c62a1:0x1632a57cdab1ffa8!8m2!3d17.2775096!4d78.4221704!16s%2Fg%2F11t9n_j03v!19sChIJoWIMQdy9yzsRqP-x2nylMhY?authuser=0&hl=en&rclk=1","Basil Woods School, Shamshabad","4.8","(211)","CBSE School","·","077108 10867","http://www.basilwoodshyd.in/"
"https://www.google.com/maps/place/Arka+International+School/data=!4m7!3m6!1s0x3bcba36c6d44d0cd:0x94b7b32823b58be4!8m2!3d17.3099752!4d78.5460358!16s%2Fg%2F11gy1rj2vq!19sChIJzdBEbWyjyzsR5Iu1Iyizt5Q?authuser=0&hl=en&rclk=1","Arka International School","4.2","(170)","CBSE School","","063099 26668","http://arkainternationalschool.com/"
"https://www.google.com/maps/place/World+One+School/data=!4m7!3m6!1s0x3bcb9231c25f1053:0x5b2795e97a034a1d!8m2!3d17.4752716!4d78.3701117!16s%2Fg%2F1pxq6r_6x!19sChIJUxBfwjGSyzsRHUoDeumVJ1s?authuser=0&hl=en&rclk=1","World One School","4.1","(503)","CBSE School","·","073309 99137","http://worldoneschool.org/"
"https://www.google.com/maps/place/EuroSchool+Hyderabad+-+CBSE+School/data=!4m7!3m6!1s0x3bcb93e54deb7a99:0x51e4ba2894200815!8m2!3d17.4332822!4d78.3736408!16s%2Fg%2F1pp2vbczb!19sChIJmXrrTeWTyzsRFQgglCi65FE?authuser=0&hl=en&rclk=1","EuroSchool Hyderabad - CBSE School","4.2","(223)","CBSE School","·","080 6983 2141","https://www.euroschoolindia.com/best-schools-in-hyderabad/cbse-gachibowli-hitech-city/?utm_source=google&utm_medium=organic&utm_id=gmb_listing"
"https://www.google.com/maps/place/Vikas+The+Concept+School+-+Top+CBSE+School+in+Hyderabad/data=!4m7!3m6!1s0x3bcb8d8d0e0c5975:0x6b59a7647701ca31!8m2!3d17.5206815!4d78.3585353!16s%2Fg%2F1tdbcwfn!19sChIJdVkMDo2NyzsRMcoBd2SnWWs?authuser=0&hl=en&rclk=1","Vikas The Concept School - Top CBSE School in Hyderabad","3.6","(590)","CBSE School","·","077029 00900","https://www.vikasconcept.com/"
"https://www.google.com/maps/place/Excellencia+Infinitum+CBSE+School+in+Shamirpet,+Hyderabad/data=!4m7!3m6!1s0x3bcb83787507865f:0x297643e89db5693c!8m2!3d17.5726607!4d78.5756486!16s%2Fg%2F11f3pzrpd5!19sChIJX4YHdXiDyzsRPGm1nehDdik?authuser=0&hl=en&rclk=1","Excellencia Infinitum CBSE School in Shamirpet, Hyderabad","4.6","(186)","CBSE School","·","091213 99926","http://www.excellenciainfinitumschool.co.in/"
"https://www.google.com/maps/place/CAL+Public+School/data=!4m7!3m6!1s0x3bcb9b7e48fb0973:0x6b885b918836eed2!8m2!3d17.4828041!4d78.5642061!16s%2Fg%2F1yh5tbkc1!19sChIJcwn7SH6byzsR0u42iJFbiGs?authuser=0&hl=en&rclk=1","CAL Public School","4.5","(528)","Higher secondary school","","040 2712 0807","http://www.calps.in/"
"https://www.google.com/maps/place/Discoveri+Oaks+School/data=!4m7!3m6!1s0x3bcba1860190f1f3:0x6e298631516d3b62!8m2!3d17.322415!4d78.6268836!16s%2Fg%2F11r_mdm349!19sChIJ8_GQAYahyzsRYjttUTGGKW4?authuser=0&hl=en&rclk=1","Discoveri Oaks School","4.7","(83)","International school","·","098886 40999","http://discoverioaks.org/"
"https://www.google.com/maps/place/Ravindra+Bharathi+Global+School+-+Best+CBSE+School+in+Champapet/data=!4m7!3m6!1s0x3bcb99f23dea52b7:0xfbd0fe13893c0330!8m2!3d17.3475879!4d78.5167518!16s%2Fg%2F11rv2pft1k!19sChIJt1LqPfKZyzsRMAM8iRP-0Ps?authuser=0&hl=en&rclk=1","Ravindra Bharathi Global School - Best CBSE School in Champapet","4.5","(86)","CBSE School","163, 1/2","091549 40925","https://www.rbschools.in/index.html"
"https://www.google.com/maps/place/St.Peter%27s+High+School/data=!4m7!3m6!1s0x3bcb85607549e2bf:0xa1898cc56625550!8m2!3d17.5645205!4d78.4501797!16s%2Fg%2F1pv1h0clm!19sChIJv-JJdWCFyzsRUFViVsyYGAo?authuser=0&hl=en&rclk=1","St.Peter's High School","4.5","(231)","CBSE School","·","099592 22270","http://www.stpetersirs.com/"
"https://www.google.com/maps/place/Samskar+-+The+Life+School/data=!4m7!3m6!1s0x3bcb911b96ba6e41:0xb9ce865bf768d8d7!8m2!3d17.4557902!4d78.4270796!16s%2Fg%2F11_s3h4fd!19sChIJQW66lhuRyzsR19ho91uGzrk?authuser=0&hl=en&rclk=1","Samskar - The Life School","4.7","(367)","General education school","8-4-377, New, Ashok Marg","077290 70809","http://samskarschools.com/"
"https://www.google.com/maps/place/The+Hyderabad+Public+School/data=!4m7!3m6!1s0x3bcb9913e4eac939:0xdb1bff5a74504b64!8m2!3d17.4024168!4d78.5367182!16zL20vMDRfY3d0!19sChIJOcnq5BOZyzsRZEtQdFr_G9s?authuser=0&hl=en&rclk=1","The Hyderabad Public School","4.3","(359)","CBSE School","·","079955 55107","http://www.hpsramanthapur.org/"
"https://www.google.com/maps/place/Rockwoods+School+in+Uppal/data=!4m7!3m6!1s0x3bcb9ecdb98d3dcf:0x59ea0e5d9eaeae2d!8m2!3d17.3999897!4d78.57003!16s%2Fg%2F1s04b637_!19sChIJzz2Nuc2eyzsRLa6unl0O6lk?authuser=0&hl=en&rclk=1","Rockwoods School in Uppal","4.8","(173)","CBSE School","·","092468 53904","https://rockwoodsinternationalschool.com/school/rankers-school-uppal/contact"
"https://www.google.com/maps/place/Hyderabad+International+School/data=!4m7!3m6!1s0x3bcb9767b296ea85:0xfab8f756f981032e!8m2!3d17.3589479!4d78.47088!16s%2Fg%2F11h6r_g05v!19sChIJheqWsmeXyzsRLgOB-Vb3uPo?authuser=0&hl=en&rclk=1","Hyderabad International School","4.6","(66)","School","·","075691 45151","https://sites.google.com/view/hyderabad-international-school/"
"https://www.google.com/maps/place/Gitanjali+International+School/data=!4m7!3m6!1s0x3bcb9aac8cb632ad:0xf424bf4db19656b7!8m2!3d17.5694104!4d78.4952803!16s%2Fg%2F1q5bps4z0!19sChIJrTK2jKyayzsRt1aWsU2_JPQ?authuser=0&hl=en&rclk=1","Gitanjali International School","4.0","(232)","General education school","·","073307 77736","http://gitanjaliinternationalschool.in/"
"https://www.google.com/maps/place/Hyderabad+International+School/data=!4m7!3m6!1s0x3bcb99f6ff2708cd:0x99f6cceb19eeadf1!8m2!3d17.3765942!4d78.4907051!16s%2Fg%2F11h64tdq20!19sChIJzQgn__aZyzsR8a3uGevM9pk?authuser=0&hl=en&rclk=1","Hyderabad International School","4.0","(89)","General education school","·","075691 48317","https://sites.google.com/view/hyderabad-international-school"
"https://www.google.com/maps/place/Innovious+International+School/data=!4m7!3m6!1s0x3bcb8fbb4120a0b3:0x27b84894291ee3d9!8m2!3d17.5454008!4d78.4720966!16s%2Fg%2F11kp9_r3lz!19sChIJs6AgQbuPyzsR2eMeKZRIuCc?authuser=0&hl=en&rclk=1","Innovious International School","4.7","(107)","CBSE School","·","088866 62364","https://innoviousschool.com/"
"https://www.google.com/maps/place/Abhyasa+International+Residential+School+-+Campus/data=!4m7!3m6!1s0x3bcb913843594425:0x12ae0ca3c739751b!8m2!3d17.8412533!4d78.4829295!16s%2Fm%2F09rtc_2!19sChIJJURZQziRyzsRG3U5x6MMrhI?authuser=0&hl=en&rclk=1","Abhyasa International Residential School - Campus","4.6","(294)","Boarding school","·","091000 93333","http://www.abhyasaschool.com/"
"https://www.google.com/maps/place/Hindu+Public+School/data=!4m7!3m6!1s0x3bcb90e89f960aef:0x991e62eba290778c!8m2!3d17.4531751!4d78.4410081!16s%2Fg%2F1tx13v0x!19sChIJ7wqWn-iQyzsRjHeQoutiHpk?authuser=0&hl=en&rclk=1","Hindu Public School","3.9","(304)","CBSE School","·","040 2370 4355","https://hindukids.in/"
"https://www.google.com/maps/place/Meru+International+School+Miyapur,+Hyderabad/data=!4m7!3m6!1s0x3bcb928a32ae0097:0x54736c163724bc8d!8m2!3d17.4938844!4d78.3358485!16s%2Fg%2F11fyx9c1gn!19sChIJlwCuMoqSyzsRjbwkNxZsc1Q?authuser=0&hl=en&rclk=1","Meru International School Miyapur, Hyderabad","4.5","(616)","International school","·","081017 00700","https://meruinternationalschool.com/"
"https://www.google.com/maps/place/Duaa+The+Global+Schools/data=!4m7!3m6!1s0x3bcb973f5faa8b0d:0xa057505e8fd4c493!8m2!3d17.3477274!4d78.4205849!16s%2Fg%2F11gtz5vf76!19sChIJDYuqXz-XyzsRk8TUj15QV6A?authuser=0&hl=en&rclk=1","Duaa The Global Schools","4.6","(212)","General education school","","099894 83293","https://www.duaglobalschools.com/"
"https://www.google.com/maps/place/GD+Goenka+School,+Hyderabad/data=!4m7!3m6!1s0x3bcb98972e3ecaf7:0x9edfda9527e71bcc!8m2!3d17.3615149!4d78.5637742!16s%2Fg%2F11dxs8x6pd!19sChIJ98o-LpeYyzsRzBvnJ5Xa354?authuser=0&hl=en&rclk=1","GD Goenka School, Hyderabad","4.4","(188)","CBSE School","·","079950 01771","http://www.gdgoenkahyd.com/"
"https://www.google.com/maps/place/Solitaire+Global+School+%28Katedan+Branch%29/data=!4m7!3m6!1s0x3bcbbd71c54b2e17:0x4eb3e3963330f7e0!8m2!3d17.31677!4d78.4403444!16s%2Fg%2F11f4zd02jq!19sChIJFy5LxXG9yzsR4PcwM5bjs04?authuser=0&hl=en&rclk=1","Solitaire Global School (Katedan Branch)","4.4","(85)","General education school","·","091549 49719","https://www.solitaireglobalschools.com/"
"https://www.google.com/maps/place/Montfort+School/data=!4m7!3m6!1s0x3bcb97e47e1f2663:0x79492e86a48d1315!8m2!3d17.3439423!4d78.4629394!16s%2Fg%2F11rgghlxfb!19sChIJYyYffuSXyzsRFRONpIYuSXk?authuser=0&hl=en&rclk=1","Montfort School","4.6","(31)","General education school","·","080950 84008","http://montfortschoolhyd.co.in/"
"https://www.google.com/maps/place/International+School+Shaikpet/data=!4m7!3m6!1s0x3bcb96b90cb7cf79:0xf298cd1e5e93aa54!8m2!3d17.4078507!4d78.4025782!16s%2Fg%2F1ptxrlt32!19sChIJec-3DLmWyzsRVKqTXh7NmPI?authuser=0&hl=en&rclk=1","International School Shaikpet","4.1","(263)","ICSE School","·","087900 75977","https://internationalschoolshaikpet.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-website&utm_content=website_button"
"https://www.google.com/maps/place/Zikra+High+School/data=!4m7!3m6!1s0x3bcb974c500460c5:0xd8b29859ac3256c!8m2!3d17.4279457!4d78.4564466!16s%2Fg%2F11b88jgtxj!19sChIJxWAEUEyXyzsRbCXDmoUpiw0?authuser=0&hl=en&rclk=1","Zikra High School","4.7","(225)","High school","·","095731 89177","https://zikrahighschool.com/"
"https://www.google.com/maps/place/Rockwoods+School+in+Nagole,+Hyderabad/data=!4m7!3m6!1s0x3bcb98c9da16e603:0x780f24a157c78726!8m2!3d17.3627166!4d78.5583468!16s%2Fg%2F1262z6ln8!19sChIJA-YW2smYyzsRJofHV6EkD3g?authuser=0&hl=en&rclk=1","Rockwoods School in Nagole, Hyderabad","4.8","(127)","General education school","Plot No. 13, Sai Nagar Colony Rd","088855 22025","https://www.rockwoodsinternationalschool.com/school/aakruthi-school-nagole/contact"
"https://www.google.com/maps/place/Ambitus+World+School+-+Hyderabad/data=!4m7!3m6!1s0x3bcb8e6501c03e9b:0x1acd68e21b0b8365!8m2!3d17.5537733!4d78.3985584!16s%2Fg%2F11bbrlllr3!19sChIJmz7AAWWOyzsRZYMLG-JozRo?authuser=0&hl=en&rclk=1","Ambitus World School - Hyderabad","4.5","(255)","International school","·","090321 91111","https://www.ambitusworldschool.com/hyderabad"
"https://www.google.com/maps/place/NIHOC+The+International+School/data=!4m7!3m6!1s0x3bcb9f6bee225c3f:0x7bc97b2d481d4b0d!8m2!3d17.3960208!4d78.6256309!16s%2Fg%2F11sc3282jm!19sChIJP1wi7mufyzsRDUsdSC17yXs?authuser=0&hl=en&rclk=1","NIHOC The International School","4.7","(72)","International school","·","","https://www.nihoc.in/"
"https://www.google.com/maps/place/The+Hyderabad+Public+School/data=!4m7!3m6!1s0x3bcb90be93ad51cf:0xb46914264984900e!8m2!3d17.4441929!4d78.4572966!16zL20vMDYwM3Zo!19sChIJz1Gtk76QyzsRDpCESSYUabQ?authuser=0&hl=en&rclk=1","The Hyderabad Public School","4.5","(690)","ICSE School","·","040 2776 1546","http://www.hpsbegumpet.org.in/"
"https://www.google.com/maps/place/Manchester+Global+School+%7C+Best+International+School+in+Hyderabad+%7C+IB+and+CBSE/data=!4m7!3m6!1s0x3bcbaf645d4d56b3:0xf0a9d0c4190a3184!8m2!3d17.1217479!4d78.4918271!16s%2Fg%2F11v0_v2838!19sChIJs1ZNXWSvyzsRhDEKGcTQqfA?authuser=0&hl=en&rclk=1","Manchester Global School | Best International School in Hyderabad | IB and CBSE","4.5","(55)","International school","·","072079 75566","https://www.manchester.global/"
"https://www.google.com/maps/place/Vignan+Schools+-+Nizampet/data=!4m7!3m6!1s0x1143c5c8d7deec4d:0xd9e8fb8e8f1f0d70!8m2!3d17.517391!4d78.374183!16s%2Fg%2F1q6752fjh!19sChIJTeze18jFQxERcA0fj4776Nk?authuser=0&hl=en&rclk=1","Vignan Schools - Nizampet","4.2","(870)","CBSE School","·","097019 33455","https://vignanschools.org/our-campuses/schools-in-hyderabad/nizampet/"
"https://www.google.com/maps/place/Radcliffe+School,+Hyderabad+%7C+Best+CBSE+School+in+Balanagar/data=!4m7!3m6!1s0x3bcb990a7fee5135:0xbfada763b0a41db8!8m2!3d17.4694228!4d78.4390853!16s%2Fg%2F1tdjvgqr!19sChIJNVHufwqZyzsRuB2ksGOnrb8?authuser=0&hl=en&rclk=1","Radcliffe School, Hyderabad | Best CBSE School in Balanagar","4.6","(442)","CBSE School","·","093939 09991","https://www.radcliffe.in/hyderabad-school/"
"https://www.google.com/maps/place/Green+Gables+International+School/data=!4m7!3m6!1s0x3bcb9166a2454c07:0x8ad5633bae3fc1cd!8m2!3d17.423217!4d78.2694412!16s%2Fg%2F11bbrnvs4j!19sChIJB0xFomaRyzsRzcE_rjtj1Yo?authuser=0&hl=en&rclk=1","Green Gables International School","4.3","(93)","International school","Green Gables International School, Akshaya Education society Survey Nos 197 & 204,, Mirzaguda village ( Janwada ), Shankarpally Mandal, RR dist","","http://greengablesinternationalschool.com/"
"https://www.google.com/maps/place/Sri+Swami+Chinna+Jeeyar+International+School/data=!4m7!3m6!1s0x3bcb91f173ffffff:0xcf3fe87fdfe8f2da!8m2!3d17.5013399!4d78.3920289!16s%2Fg%2F11bzypjkw_!19sChIJ____c_GRyzsR2vLo33_oP88?authuser=0&hl=en&rclk=1","Sri Swami Chinna Jeeyar International School","4.4","(26)","CBSE School","·","099858 59111","https://sriramschool.in/"
"https://www.google.com/maps/place/Rao%27s+International+School/data=!4m7!3m6!1s0x3bcb91bcf12c1695:0x2c96657a8b67a1b4!8m2!3d17.4840748!4d78.4109996!16s%2Fg%2F1v6l5y_n!19sChIJlRYs8byRyzsRtKFni3plliw?authuser=0&hl=en&rclk=1","Rao's International School","4.1","(75)","General education school","15-21-34","",""
"https://www.google.com/maps/place/Diksha+-+A+Waldorf+School/data=!4m7!3m6!1s0x3bcb8529f62ce0f3:0xbb1e96a2d61c5732!8m2!3d17.5630764!4d78.5474338!16s%2Fg%2F119wrxgl0!19sChIJ8-As9imFyzsRMlcc1qKWHrs?authuser=0&hl=en&rclk=1","Diksha - A Waldorf School","4.7","(39)","CBSE School","·","090003 45742","https://www.dikshawaldorfschool.in/"
"https://www.google.com/maps/place/Johnson+Grammar+School+Mallapur+ICSE/data=!4m7!3m6!1s0x3bcb9969d069e135:0xdfcdb543752ba156!8m2!3d17.437479!4d78.5537481!16s%2Fg%2F1264brs3k!19sChIJNeFp0GmZyzsRVqErdUO1zd8?authuser=0&hl=en&rclk=1","Johnson Grammar School Mallapur ICSE","4.5","(763)","ICSE School","·","040 2717 3333","http://www.jgschool.org/"
"https://www.google.com/maps/place/Kennedy+High+The+Global+School/data=!4m7!3m6!1s0x3bcb8dbf02a2c703:0x3808e1b53827b78d!8m2!3d17.5408515!4d78.3585933!16s%2Fg%2F1tdrvs8r!19sChIJA8eiAr-NyzsRjbcnOLXhCDg?authuser=0&hl=en&rclk=1","Kennedy High The Global School","3.7","(394)","CBSE School","·","098859 07261","https://www.kennedyhighglobalschool.com/?utm_source=Google%20My%20Business%20Listing&utm_medium=Organic"
"https://www.google.com/maps/place/Hyderabad+Sainik+School+Nur+to+x/data=!4m7!3m6!1s0x3bcb9870612471c7:0x20a63f307469281d!8m2!3d17.3516217!4d78.5094011!16s%2Fg%2F1tm67ctx!19sChIJx3EkYXCYyzsRHShpdDA_piA?authuser=0&hl=en&rclk=1","Hyderabad Sainik School Nur to x","4.1","(150)","High school","·","040 2433 0233",""
"https://www.google.com/maps/place/The+Hyderabad+Millennium+School/data=!4m7!3m6!1s0x3bcb9744ca0130fd:0x182449c6facf76ae!8m2!3d17.3355238!4d78.4252752!16s%2Fg%2F11lt5c7d2s!19sChIJ_TABykSXyzsRrnbP-sZJJBg?authuser=0&hl=en&rclk=1","The Hyderabad Millennium School","4.2","(50)","CBSE School","Pillar Number 270","099598 20300",""
"https://www.google.com/maps/place/Telangana+Model+School+%26+College/data=!4m7!3m6!1s0x3bcb8c54d8d95865:0x7d1c5382d369f9a4!8m2!3d17.5603025!4d78.341692!16s%2Fg%2F11b86pwncx!19sChIJZVjZ2FSMyzsRpPlp04JTHH0?authuser=0&hl=en&rclk=1","Telangana Model School & College","4.2","(78)","School","·","",""
"https://www.google.com/maps/place/St.Joseph%27s+Public+School/data=!4m7!3m6!1s0x3bcb99da8d513bbd:0xbaa9a316132fed03!8m2!3d17.3944124!4d78.4843827!16s%2Fm%2F0h_d3rb!19sChIJvTtRjdqZyzsRA-0vExajqbo?authuser=0&hl=en&rclk=1","St.Joseph's Public School","4.5","(395)","ICSE School","·","040 2323 5665","http://stjosephspublicschoolkingkoti.com/"
"https://www.google.com/maps/place/Niraj+Public+School/data=!4m7!3m6!1s0x3bcb90b62d2dc469:0x9865230c2b555d2!8m2!3d17.434897!4d78.4531244!16s%2Fg%2F1hm1_h9m1!19sChIJacQtLbaQyzsR0lW1wjBShgk?authuser=0&hl=en&rclk=1","Niraj Public School","3.9","(270)","ICSE School","·","040 2341 3543","http://www.nirajpublicschool.com/"
"https://www.google.com/maps/place/Silver+River+School+-+Best+School+for+Toddler+to+Grade+7+Near+me+in+Madinaguda,+Hyderabad/data=!4m7!3m6!1s0x3bcb935aeb0e1fff:0xfcc3bb8bf3167907!8m2!3d17.4891992!4d78.3479981!16s%2Fg%2F11f5bk36ch!19sChIJ_x8O61qTyzsRB3kW84u7w_w?authuser=0&hl=en&rclk=1","Silver River School - Best School for Toddler to Grade 7 Near me in Madinaguda, Hyderabad","4.8","(131)","Primary school","·","",""
"https://www.google.com/maps/place/Glendale+Academy+School+-+Hyderabad/data=!4m7!3m6!1s0x3bcb9790500a57ed:0xc3721d0301b2cc82!8m2!3d17.3607766!4d78.397857!16s%2Fg%2F11y1c8ltl8!19sChIJ7VcKUJCXyzsRgsyyAQMdcsM?authuser=0&hl=en&rclk=1","Glendale Academy School - Hyderabad","4.4","(34)","CBSE School","·","1800 309 9893","https://www.glendale.edu.in/"
"https://www.google.com/maps/place/Silver+Oaks+International+School+-+Mighty+Oaks+Campus/data=!4m7!3m6!1s0x3bcb8dc0da1a4cd1:0x736bb3d729fc752a!8m2!3d17.542484!4d78.3648085!16s%2Fm%2F0nhg_ny!19sChIJ0Uwa2sCNyzsRKnX8Kdeza3M?authuser=0&hl=en&rclk=1","Silver Oaks International School - Mighty Oaks Campus","4.0","(324)","International school","·","","https://www.silveroaks.co.in/home/hyderabad/"
"https://www.google.com/maps/place/Ivy+League+Academy/data=!4m7!3m6!1s0x3bcb838bf9e2302b:0xa5a44b754136718b!8m2!3d17.5784827!4d78.6103213!16s%2Fg%2F1th7wt96!19sChIJKzDi-YuDyzsRi3E2QXVLpKU?authuser=0&hl=en&rclk=1","Ivy League Academy","4.3","(60)","CBSE School","·","040 6682 4215","https://ivyleagueacademy.in/"
"https://www.google.com/maps/place/Vidyaranya+High+School+for+Boys+%26+Girls/data=!4m7!3m6!1s0x3bcb975e868df847:0x59c2e9aa40d304f2!8m2!3d17.406778!4d78.4701014!16s%2Fm%2F0n49x3g!19sChIJR_iNhl6XyzsR8gTTQKrpwlk?authuser=0&hl=en&rclk=1","Vidyaranya High School for Boys & Girls","4.3","(155)","ICSE School","·","040 2323 5146","http://www.vidyaranyaschool.com/"
"https://www.google.com/maps/place/Hyderabad+sainik+school+-ll/data=!4m7!3m6!1s0x3bcb9938d57026ef:0x818b65b1d85e5cb7!8m2!3d17.345243!4d78.5087848!16s%2Fg%2F11h6t6kmgm!19sChIJ7yZw1TiZyzsRt1xe2LFli4E?authuser=0&hl=en&rclk=1","Hyderabad sainik school -ll","4.8","(80)","School","","","https://www.hyderabadsainikschool.com/"
"https://www.google.com/maps/place/Indus+International+School+Hyderabad/data=!4m7!3m6!1s0x3bcbeef081100193:0x164216fc1a4be6bf!8m2!3d17.4498492!4d78.1783912!16s%2Fm%2F0fqrzfp!19sChIJkwEQgfDuyzsRv-ZLGvwWQhY?authuser=0&hl=en&rclk=1","Indus International School Hyderabad","3.9","(138)","International school","·","093477 74204","https://hyderabad.indusschool.com/"
"https://www.google.com/maps/place/Chaitanya+Vidyalaya/data=!4m7!3m6!1s0x3bcb99e3e9610353:0x17653f160572063!8m2!3d17.4116323!4d78.4790088!16s%2Fg%2F1vk6xp4l!19sChIJUwNh6eOZyzsRYyBXYPFTdgE?authuser=0&hl=en&rclk=1","Chaitanya Vidyalaya","4.4","(120)","General education school","·","079951 27262","http://www.chaitanyavidyalaya.org/"
"https://www.google.com/maps/place/Hyderabad+School/data=!4m7!3m6!1s0x3bcba2a656ade507:0x8d778eb623f631a2!8m2!3d17.3316635!4d78.4889603!16s%2Fg%2F1yh4g784j!19sChIJB-WtVqaiyzsRojH2I7aOd40?authuser=0&hl=en&rclk=1","Hyderabad School","4.4","(38)","Private educational institution","8FJQ+MH8","093906 97239",""
